model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,push,vs,es,date
com-friendster,124836180,1806067135,fasttrim,1,81071.759000,124836180,-1,124836180,1806067135,0,0,0,0,0,4096,641,100,100,2021-06-18.11:57:45
twitter,41354195,1440030213,fasttrim,1,7829.477000,4157028,-1,4157028,39100435,0,0,0,0,0,4096,127,100,100,2021-06-18.12:02:15
twitter_mpi,52579683,1963263821,fasttrim,1,6415.433000,9213375,-1,9213375,44817791,0,0,0,0,0,4096,327,100,100,2021-06-18.12:07:43
com-friendster,124836180,1806067135,trim,1,10275837.141000,124836180,13973,124836180,168554758968,0,0,0,0,0,4096,-1,100,100,2021-06-18.15:12:02
twitter,41354195,1440030213,trim,1,6355.286000,4157028,6,4157028,225132646,0,0,0,0,0,4096,-1,100,100,2021-06-18.15:16:28
twitter_mpi,52579683,1963263821,trim,1,8000.151000,9213375,7,9213375,305116392,0,0,0,0,0,4096,-1,100,100,2021-06-18.15:21:57
com-friendster,124836180,1806067135,ac4trim,1,163534.266000,124836180,-1,124836180,1806067135,0,0,0,0,0,4096,775,100,100,2021-06-18.15:36:56
twitter,41354195,1440030213,ac4trim,1,112073.202000,4157028,-1,4157028,93811445,0,0,0,0,0,4096,288,100,100,2021-06-18.15:42:59
twitter_mpi,52579683,1963263821,ac4trim,1,128266.180000,9213375,-1,9213375,61093667,0,0,0,0,0,4096,15219,100,100,2021-06-18.15:50:26
com-friendster,124836180,1806067135,fasttrim,2,70860.141000,124836180,-1,124836180,1784415431,0,0,0,0,0,4096,611,100,100,2021-06-18.15:56:55
twitter,41354195,1440030213,fasttrim,2,4274.150000,4157028,-1,4157028,19611614,0,0,0,0,0,4096,227,100,100,2021-06-18.15:59:29
twitter_mpi,52579683,1963263821,fasttrim,2,3271.033000,9213375,-1,9213375,22546715,0,0,0,0,0,4096,327,100,100,2021-06-18.16:02:48
com-friendster,124836180,1806067135,trim,2,5207325.505000,124836180,13239,124836180,81752093849,0,0,0,0,0,4096,-1,100,100,2021-06-18.17:34:58
twitter,41354195,1440030213,trim,2,3496.275000,4157028,6,4157028,113041672,0,0,0,0,0,4096,-1,100,100,2021-06-18.17:37:33
twitter_mpi,52579683,1963263821,trim,2,4324.561000,9213375,7,9213375,152873003,0,0,0,0,0,4096,-1,100,100,2021-06-18.17:40:49
com-friendster,124836180,1806067135,ac4trim,2,131860.602000,124836180,-1,124836180,1747332554,0,0,0,0,0,4096,681,100,100,2021-06-18.17:48:27
