model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,push,vs,es,date
twitter,41354195,1440030213,ac4trim,12,494.059,4157028,-1,4157028,8272682,0,0,0,0,0,4096,293,100,100,2021-06-02.18:01:04
twitter_mpi,52579683,1963263821,ac4trim,12,344.882,9213375,-1,9213375,6180402,0,0,0,0,0,4096,15218,100,100,2021-06-02.18:02:41
wiki-link-en,12150977,378142420,ac4trim,12,13.634,37099,-1,37099,34711,0,0,0,0,0,4096,33,100,100,2021-06-02.18:02:53
com-friendster,124836180,1806067135,fasttrim,14,58452.853,124836180,-1,124836180,1806139326,0,0,0,0,0,4096,681,100,100,2021-06-02.18:05:42
twitter,41354195,1440030213,fasttrim,14,1277.786,4157028,-1,4157028,3522277,0,0,0,0,0,4096,287,100,100,2021-06-02.18:06:56
twitter_mpi,52579683,1963263821,fasttrim,14,1941.512,9213375,-1,9213375,4258848,0,0,0,0,0,4096,327,100,100,2021-06-02.18:08:34
wiki-link-en,12150977,378142420,fasttrim,14,376.292,37099,-1,37099,893049,0,0,0,0,0,4096,6,100,100,2021-06-02.18:08:47
com-friendster,124836180,1806067135,trim,14,1224712.03,124836180,11875,124836180,12187841741,0,0,0,0,0,4096,-1,100,100,2021-06-02.18:31:03
twitter,41354195,1440030213,trim,14,824.966,4157028,6,4157028,19488494,0,0,0,0,0,4096,-1,100,100,2021-06-02.18:32:15
twitter_mpi,52579683,1963263821,trim,14,1178.342,9213375,7,9213375,26540291,0,0,0,0,0,4096,-1,100,100,2021-06-02.18:33:53
wiki-link-en,12150977,378142420,trim,14,213.286,37099,4,37099,3870068,0,0,0,0,0,4096,-1,100,100,2021-06-02.18:34:08
com-friendster,124836180,1806067135,ac4trim,14,58790.416,124836180,-1,124836180,1696078000,0,0,0,0,0,4096,681,100,100,2021-06-02.18:36:57
twitter,41354195,1440030213,ac4trim,14,498.671,4157028,-1,4157028,7070261,0,0,0,0,0,4096,293,100,100,2021-06-02.18:38:10
twitter_mpi,52579683,1963263821,ac4trim,14,339.383,9213375,-1,9213375,5318956,0,0,0,0,0,4096,15218,100,100,2021-06-02.18:39:49
wiki-link-en,12150977,378142420,ac4trim,14,14.213,37099,-1,37099,38225,0,0,0,0,0,4096,33,100,100,2021-06-02.18:40:02
com-friendster,124836180,1806067135,fasttrim,16,59366.278,124836180,-1,124836180,1804663838,0,0,0,0,0,4096,653,100,100,2021-06-02.18:42:52
twitter,41354195,1440030213,fasttrim,16,1255.056,4157028,-1,4157028,2866598,0,0,0,0,0,4096,287,100,100,2021-06-02.18:44:06
twitter_mpi,52579683,1963263821,fasttrim,16,1895.235,9213375,-1,9213375,3969589,0,0,0,0,0,4096,327,100,100,2021-06-02.18:45:45
wiki-link-en,12150977,378142420,fasttrim,16,363.736,37099,-1,37099,868445,0,0,0,0,0,4096,6,100,100,2021-06-02.18:45:59
com-friendster,124836180,1806067135,trim,16,1179506.86,124836180,11873,124836180,10185324062,0,0,0,0,0,4096,-1,100,100,2021-06-02.19:07:28
twitter,41354195,1440030213,trim,16,878.741,4157028,6,4157028,16074649,0,0,0,0,0,4096,-1,100,100,2021-06-02.19:08:41
twitter_mpi,52579683,1963263821,trim,16,1214.546,9213375,7,9213375,24171811,0,0,0,0,0,4096,-1,100,100,2021-06-02.19:10:19
wiki-link-en,12150977,378142420,trim,16,207.731,37099,4,37099,3572173,0,0,0,0,0,4096,-1,100,100,2021-06-02.19:10:32
com-friendster,124836180,1806067135,ac4trim,16,59101.318,124836180,-1,124836180,1695097731,0,0,0,0,0,4096,637,100,100,2021-06-02.19:13:21
twitter,41354195,1440030213,ac4trim,16,490.219,4157028,-1,4157028,6406634,0,0,0,0,0,4096,293,100,100,2021-06-02.19:14:35
twitter_mpi,52579683,1963263821,ac4trim,16,336.784,9213375,-1,9213375,4727854,0,0,0,0,0,4096,15217,100,100,2021-06-02.19:16:12
wiki-link-en,12150977,378142420,ac4trim,16,14.55,37099,-1,37099,32743,0,0,0,0,0,4096,33,100,100,2021-06-02.19:16:25
com-friendster,124836180,1806067135,fasttrim,32,40622.79,124836180,-1,124836180,1801853691,0,0,0,0,0,4096,619,100,100,2021-06-02.19:18:56
twitter,41354195,1440030213,fasttrim,32,1369.188,4157028,-1,4157028,1559491,0,0,0,0,0,4096,287,100,100,2021-06-02.19:20:11
twitter_mpi,52579683,1963263821,fasttrim,32,2103.46,9213375,-1,9213375,2203499,0,0,0,0,0,4096,327,100,100,2021-06-02.19:21:48
wiki-link-en,12150977,378142420,fasttrim,32,519.804,37099,-1,37099,487468,0,0,0,0,0,4096,6,100,100,2021-06-02.19:22:02
