model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,push,vs,es,date
twitter,8272822,288175024,fasttrim,16,328.616000,3069209,-1,3069209,411852,0,0,0,0,0,4096,181,20,100,2021-06-13.08:22:31
twitter,41354195,288022907,fasttrim,16,1103.696000,15592369,-1,15592369,2148744,0,0,0,0,0,4096,180,100,20,2021-06-13.08:24:28
twitter,12406469,431754691,fasttrim,16,457.561000,3323496,-1,3323496,719860,0,0,0,0,0,4096,197,30,100,2021-06-13.08:26:01
twitter,41354195,432039889,fasttrim,16,1161.782000,11198799,-1,11198799,2374738,0,0,0,0,0,4096,251,100,30,2021-06-13.08:28:20
twitter,16543702,575365502,fasttrim,16,574.643000,3453598,-1,3453598,1001540,0,0,0,0,0,4096,254,40,100,2021-06-13.08:29:59
twitter,41354195,576025609,fasttrim,16,1183.200000,8673540,-1,8673540,2474446,0,0,0,0,0,4096,257,100,40,2021-06-13.08:32:28
twitter,20673014,719865731,fasttrim,16,625.435000,3545212,-1,3545212,1284434,0,0,0,0,0,4096,264,50,100,2021-06-13.08:34:00
twitter,41354195,719991325,fasttrim,16,1213.413000,7100675,-1,7100675,2537492,0,0,0,0,0,4096,268,100,50,2021-06-13.08:36:34
twitter,24815532,864995388,fasttrim,16,910.019000,3598885,-1,3598885,1526074,0,0,0,0,0,4096,269,60,100,2021-06-13.08:38:25
twitter,41354195,863980973,fasttrim,16,1225.472000,6062772,-1,6062772,2627301,0,0,0,0,0,4096,266,100,60,2021-06-13.08:41:10
twitter,28952496,1006880381,fasttrim,16,981.166000,3766292,-1,3766292,1830300,0,0,0,0,0,4096,277,70,100,2021-06-13.08:43:06
twitter,41354195,1007995915,fasttrim,16,1289.767000,5342434,-1,5342434,2686747,0,0,0,0,0,4096,300,100,70,2021-06-13.08:46:03
twitter,33087109,1150939732,fasttrim,16,1127.281000,3859820,-1,3859820,2109361,0,0,0,0,0,4096,303,80,100,2021-06-13.08:48:05
twitter,41354195,1152023072,fasttrim,16,1316.084000,4827895,-1,4827895,2625703,0,0,0,0,0,4096,289,100,80,2021-06-13.08:51:12
twitter,37223030,1295406126,fasttrim,16,1243.344000,3990306,-1,3990306,2403914,0,0,0,0,0,4096,300,90,100,2021-06-13.08:53:16
