model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,sccs,size1,size2,size3,date
livej,4847571,68993773,ufscc,1,5651.407,-1,-1,-1,971232,947776,16875,3280,2019-11-05.12:27:52
patent,3774768,16518948,ufscc,1,1337.003,-1,-1,-1,3774768,3774768,0,0,2019-11-05.12:27:54
pokec,1632804,30622564,ufscc,1,2741.599,-1,-1,-1,325893,323799,1904,151,2019-11-05.12:27:57
random,10000001,100000000,ufscc,1,18158.224,-1,-1,-1,877,876,0,0,2019-11-05.12:28:20
rmat,9999994,100000000,ufscc,1,16215.349,-1,-1,-1,2247072,2247071,0,0,2019-11-05.12:28:40
ssca2,1048577,157877986,ufscc,1,2582.326,-1,-1,-1,31,29,1,0,2019-11-05.12:28:47
wiki_link_en,12150977,378142420,ufscc,1,17476.541,-1,-1,-1,4852900,4846174,3205,1301,2019-11-05.12:29:15
wiki-links,5710993,130160392,ufscc,1,8562.913,-1,-1,-1,2002220,1998569,2692,605,2019-11-05.12:29:28
wiki_talk_en,2987536,24981163,ufscc,1,974.57,-1,-1,-1,2736716,2735641,992,58,2019-11-05.12:29:31
youtube-links,1138500,4942297,ufscc,1,437.321,-1,-1,-1,613423,602053,8696,1709,2019-11-05.12:29:32
baidu,2141301,17794839,fasttrim,2,52.919,598975,-1,598975,0,0,0,0,2019-11-05.12:29:33
-bakery.6,11845035,40400559,fasttrim,2,296.483,2636196,-1,2636196,0,0,0,0,2019-11-05.12:29:35
-cambridge.6,3354295,9483191,fasttrim,2,77.831,8412,-1,8412,0,0,0,0,2019-11-05.12:29:35
dbpedia,3966925,13820853,fasttrim,2,74.368,1437127,-1,1437127,0,0,0,0,2019-11-05.12:29:36
dbpedia-link,18268993,172183984,fasttrim,2,636.096,8143619,-1,8143619,0,0,0,0,2019-11-05.12:29:42
-leader-filters.7,26302351,91692858,fasttrim,2,943.232,26302351,-1,26302351,0,0,0,0,2019-11-05.12:29:47
livej,4847571,68993773,fasttrim,2,230.918,592952,-1,592952,0,0,0,0,2019-11-05.12:29:49
patent,3774768,16518948,fasttrim,2,696.934,3774768,-1,3774768,0,0,0,0,2019-11-05.12:29:51
pokec,1632804,30622564,fasttrim,2,52.508,212042,-1,212042,0,0,0,0,2019-11-05.12:29:52
random,10000001,100000000,fasttrim,2,640.155,455,-1,455,0,0,0,0,2019-11-05.12:29:56
rmat,9999994,100000000,fasttrim,2,566.582,2203713,-1,2203713,0,0,0,0,2019-11-05.12:30:01
ssca2,1048577,157877986,fasttrim,2,67.839,11,-1,11,0,0,0,0,2019-11-05.12:30:05
wiki_link_en,12150977,378142420,fasttrim,2,530.462,37102,-1,37102,0,0,0,0,2019-11-05.12:30:16
wiki-links,5710993,130160392,fasttrim,2,234.089,7415,-1,7415,0,0,0,0,2019-11-05.12:30:21
wiki_talk_en,2987536,24981163,fasttrim,2,26.627,2611598,-1,2611598,0,0,0,0,2019-11-05.12:30:23
youtube-links,1138500,4942297,fasttrim,2,21.942,600414,-1,600414,0,0,0,0,2019-11-05.12:30:23
