model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,sccs,size1,size2,size3,date
pokec,1632804,30622564,trim,12,19.288,212042,5,212042,212042,212042,0,0,2019-11-05.13:12:51
random,10000001,100000000,trim,12,57.319,455,2,455,455,455,0,0,2019-11-05.13:12:55
rmat,9999994,100000000,trim,12,142.139,2203713,6,2203713,2203713,2203713,0,0,2019-11-05.13:12:59
ssca2,1048577,157877986,trim,12,5.897,11,2,11,11,11,0,0,2019-11-05.13:13:03
wiki_link_en,12150977,378142420,trim,12,95.378,37102,4,37102,37102,37102,0,0,2019-11-05.13:13:15
wiki-links,5710993,130160392,trim,12,52.038,7415,4,7415,7415,7415,0,0,2019-11-05.13:13:19
wiki_talk_en,2987536,24981163,trim,12,11.927,2611598,7,2611598,2611598,2611598,0,0,2019-11-05.13:13:21
youtube-links,1138500,4942297,trim,12,6.909,600414,6,600414,600414,600414,0,0,2019-11-05.13:13:22
baidu,2141301,17794839,ufscc,12,113.807,-1,-1,-1,1503004,1480722,18688,2473,2019-11-05.13:13:22
-bakery.6,11845035,40400559,ufscc,12,393.136,-1,-1,-1,2636212,2636197,0,0,2019-11-05.13:13:24
-cambridge.6,3354295,9483191,ufscc,12,82.113,-1,-1,-1,8413,8412,0,0,2019-11-05.13:13:25
dbpedia,3966925,13820853,ufscc,12,72.057,-1,-1,-1,3636316,3587274,24933,8868,2019-11-05.13:13:26
dbpedia-link,18268993,172183984,ufscc,12,1150.157,-1,-1,-1,14459547,14450686,7201,1107,2019-11-05.13:13:32
-leader-filters.7,26302351,91692858,ufscc,12,352.135,-1,-1,-1,26302351,26302351,0,0,2019-11-05.13:13:36
livej,4847571,68993773,ufscc,12,655.17,-1,-1,-1,971232,947776,16875,3280,2019-11-05.13:13:39
patent,3774768,16518948,ufscc,12,141.621,-1,-1,-1,3774768,3774768,0,0,2019-11-05.13:13:40
pokec,1632804,30622564,ufscc,12,308.364,-1,-1,-1,325893,323799,1904,151,2019-11-05.13:13:41
random,10000001,100000000,ufscc,12,1968.361,-1,-1,-1,877,876,0,0,2019-11-05.13:13:47
rmat,9999994,100000000,ufscc,12,1891.248,-1,-1,-1,2247072,2247071,0,0,2019-11-05.13:13:52
ssca2,1048577,157877986,ufscc,12,422.398,-1,-1,-1,31,29,1,0,2019-11-05.13:13:58
wiki_link_en,12150977,378142420,ufscc,12,1732.931,-1,-1,-1,4852900,4846174,3205,1301,2019-11-05.13:14:10
wiki-links,5710993,130160392,ufscc,12,906.247,-1,-1,-1,2002220,1998569,2692,605,2019-11-05.13:14:15
wiki_talk_en,2987536,24981163,ufscc,12,136.721,-1,-1,-1,2736716,2735641,992,58,2019-11-05.13:14:17
youtube-links,1138500,4942297,ufscc,12,57.312,-1,-1,-1,613423,602053,8696,1709,2019-11-05.13:14:17
baidu,2141301,17794839,fasttrim,14,22.234,598975,-1,598975,0,0,0,0,2019-11-05.13:14:18
-bakery.6,11845035,40400559,fasttrim,14,73.95,2636196,-1,2636196,0,0,0,0,2019-11-05.13:14:20
-cambridge.6,3354295,9483191,fasttrim,14,22.139,8412,-1,8412,0,0,0,0,2019-11-05.13:14:20
dbpedia,3966925,13820853,fasttrim,14,45.6,1437127,-1,1437127,0,0,0,0,2019-11-05.13:14:21
dbpedia-link,18268993,172183984,fasttrim,14,168.586,8143619,-1,8143619,0,0,0,0,2019-11-05.13:14:26
-leader-filters.7,26302351,91692858,fasttrim,14,199.2,26302351,-1,26302351,0,0,0,0,2019-11-05.13:14:30
livej,4847571,68993773,fasttrim,14,51.222,592952,-1,592952,0,0,0,0,2019-11-05.13:14:32
patent,3774768,16518948,fasttrim,14,183.021,3774768,-1,3774768,0,0,0,0,2019-11-05.13:14:33
pokec,1632804,30622564,fasttrim,14,14.154,212042,-1,212042,0,0,0,0,2019-11-05.13:14:34
random,10000001,100000000,fasttrim,14,143.628,455,-1,455,0,0,0,0,2019-11-05.13:14:38
rmat,9999994,100000000,fasttrim,14,133.899,2203713,-1,2203713,0,0,0,0,2019-11-05.13:14:42
ssca2,1048577,157877986,fasttrim,14,15.401,11,-1,11,0,0,0,0,2019-11-05.13:14:46
wiki_link_en,12150977,378142420,fasttrim,14,133.623,37102,-1,37102,0,0,0,0,2019-11-05.13:14:57
wiki-links,5710993,130160392,fasttrim,14,57.425,7415,-1,7415,0,0,0,0,2019-11-05.13:15:01
wiki_talk_en,2987536,24981163,fasttrim,14,7.23,2611598,-1,2611598,0,0,0,0,2019-11-05.13:15:03
youtube-links,1138500,4942297,fasttrim,14,6.759,600414,-1,600414,0,0,0,0,2019-11-05.13:15:03
baidu,2141301,17794839,trim,14,26.34,598975,9,598975,598975,598975,0,0,2019-11-05.13:15:04
-bakery.6,11845035,40400559,trim,14,650.539,2636196,48,2636196,2636196,2636196,0,0,2019-11-05.13:15:06
-cambridge.6,3354295,9483191,trim,14,187.046,8412,65,8412,8412,8412,0,0,2019-11-05.13:15:07
dbpedia,3966925,13820853,trim,14,377.313,1437127,110,1437127,1437127,1437127,0,0,2019-11-05.13:15:08
dbpedia-link,18268993,172183984,trim,14,138.107,8143619,5,8143619,8143619,8143619,0,0,2019-11-05.13:15:13
-leader-filters.7,26302351,91692858,trim,14,1200.137,26302351,73,26302351,26302351,26302351,0,0,2019-11-05.13:15:18
livej,4847571,68993773,trim,14,81.606,592952,8,592952,592952,592952,0,0,2019-11-05.13:15:20
patent,3774768,16518948,trim,14,80.934,3774768,22,3774768,3774768,3774768,0,0,2019-11-05.13:15:21
pokec,1632804,30622564,trim,14,19.487,212042,5,212042,212042,212042,0,0,2019-11-05.13:15:22
random,10000001,100000000,trim,14,53.85,455,2,455,455,455,0,0,2019-11-05.13:15:26
rmat,9999994,100000000,trim,14,134.518,2203713,6,2203713,2203713,2203713,0,0,2019-11-05.13:15:30
ssca2,1048577,157877986,trim,14,6.048,11,2,11,11,11,0,0,2019-11-05.13:15:34
wiki_link_en,12150977,378142420,trim,14,91.976,37102,4,37102,37102,37102,0,0,2019-11-05.13:15:45
wiki-links,5710993,130160392,trim,14,49.671,7415,4,7415,7415,7415,0,0,2019-11-05.13:15:49
wiki_talk_en,2987536,24981163,trim,14,13.686,2611598,7,2611598,2611598,2611598,0,0,2019-11-05.13:15:51
youtube-links,1138500,4942297,trim,14,6.705,600414,6,600414,600414,600414,0,0,2019-11-05.13:15:52
baidu,2141301,17794839,ufscc,14,100.168,-1,-1,-1,1503004,1480722,18688,2473,2019-11-05.13:15:52
-bakery.6,11845035,40400559,ufscc,14,349.098,-1,-1,-1,2636212,2636197,0,0,2019-11-05.13:15:54
-cambridge.6,3354295,9483191,ufscc,14,72.484,-1,-1,-1,8413,8412,0,0,2019-11-05.13:15:55
dbpedia,3966925,13820853,ufscc,14,66.47,-1,-1,-1,3636316,3587274,24933,8868,2019-11-05.13:15:56
dbpedia-link,18268993,172183984,ufscc,14,1017.46,-1,-1,-1,14459547,14450686,7201,1107,2019-11-05.13:16:02
-leader-filters.7,26302351,91692858,ufscc,14,328.114,-1,-1,-1,26302351,26302351,0,0,2019-11-05.13:16:06
livej,4847571,68993773,ufscc,14,587.311,-1,-1,-1,971232,947776,16875,3280,2019-11-05.13:16:08
patent,3774768,16518948,ufscc,14,129.09,-1,-1,-1,3774768,3774768,0,0,2019-11-05.13:16:09
pokec,1632804,30622564,ufscc,14,260.366,-1,-1,-1,325893,323799,1904,151,2019-11-05.13:16:11
random,10000001,100000000,ufscc,14,1733.752,-1,-1,-1,877,876,0,0,2019-11-05.13:16:16
rmat,9999994,100000000,ufscc,14,1730.017,-1,-1,-1,2247072,2247071,0,0,2019-11-05.13:16:22
ssca2,1048577,157877986,ufscc,14,319.285,-1,-1,-1,31,29,1,0,2019-11-05.13:16:26
wiki_link_en,12150977,378142420,ufscc,14,1504.097,-1,-1,-1,4852900,4846174,3205,1301,2019-11-05.13:16:38
wiki-links,5710993,130160392,ufscc,14,729.434,-1,-1,-1,2002220,1998569,2692,605,2019-11-05.13:16:43
wiki_talk_en,2987536,24981163,ufscc,14,140.321,-1,-1,-1,2736716,2735641,992,58,2019-11-05.13:16:45
youtube-links,1138500,4942297,ufscc,14,51.024,-1,-1,-1,613423,602053,8696,1709,2019-11-05.13:16:46
baidu,2141301,17794839,fasttrim,16,21.969,598975,-1,598975,0,0,0,0,2019-11-05.13:16:46
-bakery.6,11845035,40400559,fasttrim,16,69.852,2636196,-1,2636196,0,0,0,0,2019-11-05.13:16:48
-cambridge.6,3354295,9483191,fasttrim,16,18.615,8412,-1,8412,0,0,0,0,2019-11-05.13:16:48
dbpedia,3966925,13820853,fasttrim,16,44.105,1437127,-1,1437127,0,0,0,0,2019-11-05.13:16:49
dbpedia-link,18268993,172183984,fasttrim,16,161.538,8143619,-1,8143619,0,0,0,0,2019-11-05.13:16:55
-leader-filters.7,26302351,91692858,fasttrim,16,186.232,26302351,-1,26302351,0,0,0,0,2019-11-05.13:16:58
livej,4847571,68993773,fasttrim,16,49.325,592952,-1,592952,0,0,0,0,2019-11-05.13:17:00
patent,3774768,16518948,fasttrim,16,175.228,3774768,-1,3774768,0,0,0,0,2019-11-05.13:17:01
pokec,1632804,30622564,fasttrim,16,13.806,212042,-1,212042,0,0,0,0,2019-11-05.13:17:02
random,10000001,100000000,fasttrim,16,136.415,455,-1,455,0,0,0,0,2019-11-05.13:17:06
rmat,9999994,100000000,fasttrim,16,125.616,2203713,-1,2203713,0,0,0,0,2019-11-05.13:17:10
ssca2,1048577,157877986,fasttrim,16,14.056,11,-1,11,0,0,0,0,2019-11-05.13:17:14
wiki_link_en,12150977,378142420,fasttrim,16,117.923,37102,-1,37102,0,0,0,0,2019-11-05.13:17:25
wiki-links,5710993,130160392,fasttrim,16,54.604,7415,-1,7415,0,0,0,0,2019-11-05.13:17:29
wiki_talk_en,2987536,24981163,fasttrim,16,6.764,2611598,-1,2611598,0,0,0,0,2019-11-05.13:17:31
youtube-links,1138500,4942297,fasttrim,16,6.382,600414,-1,600414,0,0,0,0,2019-11-05.13:17:31
baidu,2141301,17794839,trim,16,25.985,598975,9,598975,598975,598975,0,0,2019-11-05.13:17:32
-bakery.6,11845035,40400559,trim,16,639.737,2636196,48,2636196,2636196,2636196,0,0,2019-11-05.13:17:34
-cambridge.6,3354295,9483191,trim,16,190.177,8412,65,8412,8412,8412,0,0,2019-11-05.13:17:35
dbpedia,3966925,13820853,trim,16,359.346,1437127,111,1437127,1437127,1437127,0,0,2019-11-05.13:17:36
dbpedia-link,18268993,172183984,trim,16,135.001,8143619,5,8143619,8143619,8143619,0,0,2019-11-05.13:17:42
-leader-filters.7,26302351,91692858,trim,16,1179.088,26302351,73,26302351,26302351,26302351,0,0,2019-11-05.13:17:46
livej,4847571,68993773,trim,16,78.459,592952,8,592952,592952,592952,0,0,2019-11-05.13:17:48
patent,3774768,16518948,trim,16,78.574,3774768,22,3774768,3774768,3774768,0,0,2019-11-05.13:17:49
pokec,1632804,30622564,trim,16,19.087,212042,5,212042,212042,212042,0,0,2019-11-05.13:17:50
random,10000001,100000000,trim,16,46.535,455,2,455,455,455,0,0,2019-11-05.13:17:54
rmat,9999994,100000000,trim,16,133.065,2203713,6,2203713,2203713,2203713,0,0,2019-11-05.13:17:58
ssca2,1048577,157877986,trim,16,6.192,11,2,11,11,11,0,0,2019-11-05.13:18:02
wiki_link_en,12150977,378142420,trim,16,96.625,37102,4,37102,37102,37102,0,0,2019-11-05.13:18:13
wiki-links,5710993,130160392,trim,16,48.971,7415,4,7415,7415,7415,0,0,2019-11-05.13:18:17
wiki_talk_en,2987536,24981163,trim,16,11.386,2611598,7,2611598,2611598,2611598,0,0,2019-11-05.13:18:19
youtube-links,1138500,4942297,trim,16,6.408,600414,6,600414,600414,600414,0,0,2019-11-05.13:18:19
baidu,2141301,17794839,ufscc,16,94.503,-1,-1,-1,1503004,1480722,18688,2473,2019-11-05.13:18:20
-bakery.6,11845035,40400559,ufscc,16,337.712,-1,-1,-1,2636212,2636197,0,0,2019-11-05.13:18:22
-cambridge.6,3354295,9483191,ufscc,16,78.349,-1,-1,-1,8413,8412,0,0,2019-11-05.13:18:22
dbpedia,3966925,13820853,ufscc,16,56.501,-1,-1,-1,3636316,3587274,24933,8868,2019-11-05.13:18:23
dbpedia-link,18268993,172183984,ufscc,16,891.941,-1,-1,-1,14459547,14450686,7201,1107,2019-11-05.13:18:30
-leader-filters.7,26302351,91692858,ufscc,16,297.045,-1,-1,-1,26302351,26302351,0,0,2019-11-05.13:18:33
livej,4847571,68993773,ufscc,16,501.447,-1,-1,-1,971232,947776,16875,3280,2019-11-05.13:18:36
patent,3774768,16518948,ufscc,16,122.502,-1,-1,-1,3774768,3774768,0,0,2019-11-05.13:18:37
pokec,1632804,30622564,ufscc,16,239.068,-1,-1,-1,325893,323799,1904,151,2019-11-05.13:18:38
random,10000001,100000000,ufscc,16,1750.896,-1,-1,-1,877,876,0,0,2019-11-05.13:18:44
rmat,9999994,100000000,ufscc,16,1545.868,-1,-1,-1,2247072,2247071,0,0,2019-11-05.13:18:49
ssca2,1048577,157877986,ufscc,16,303.212,-1,-1,-1,31,29,1,0,2019-11-05.13:18:53
wiki_link_en,12150977,378142420,ufscc,16,1388.542,-1,-1,-1,4852900,4846174,3205,1301,2019-11-05.13:19:05
wiki-links,5710993,130160392,ufscc,16,713.823,-1,-1,-1,2002220,1998569,2692,605,2019-11-05.13:19:10
wiki_talk_en,2987536,24981163,ufscc,16,136.154,-1,-1,-1,2736716,2735641,992,58,2019-11-05.13:19:12
youtube-links,1138500,4942297,ufscc,16,45.132,-1,-1,-1,613423,602053,8696,1709,2019-11-05.13:19:13
baidu,2141301,17794839,tarjan,1,408.96,-1,-1,-1,1503004,1480722,18688,2473,2019-11-05.13:19:14
-bakery.6,11845035,40400559,tarjan,1,891.841,-1,-1,-1,2636212,2636197,0,0,2019-11-05.13:19:16
-cambridge.6,3354295,9483191,tarjan,1,156.72,-1,-1,-1,8413,8412,0,0,2019-11-05.13:19:17
dbpedia,3966925,13820853,tarjan,1,266.206,-1,-1,-1,3636316,3587274,24933,8868,2019-11-05.13:19:18
dbpedia-link,18268993,172183984,tarjan,1,4539.349,-1,-1,-1,14459547,14450686,7201,1107,2019-11-05.13:19:28
-leader-filters.7,26302351,91692858,tarjan,1,922.36,-1,-1,-1,26302351,26302351,0,0,2019-11-05.13:19:33
livej,4847571,68993773,tarjan,1,2347.664,-1,-1,-1,971232,947776,16875,3280,2019-11-05.13:19:38
patent,3774768,16518948,tarjan,1,808.637,-1,-1,-1,3774768,3774768,0,0,2019-11-05.13:19:39
pokec,1632804,30622564,tarjan,1,1079.871,-1,-1,-1,325893,323799,1904,151,2019-11-05.13:19:41
random,10000001,100000000,tarjan,1,8572.872,-1,-1,-1,877,876,0,0,2019-11-05.13:19:54
rmat,9999994,100000000,tarjan,1,7425.858,-1,-1,-1,2247072,2247071,0,0,2019-11-05.13:20:05
ssca2,1048577,157877986,tarjan,1,880.802,-1,-1,-1,31,29,1,0,2019-11-05.13:20:11
wiki_link_en,12150977,378142420,tarjan,1,6906.026,-1,-1,-1,4852900,4846174,3205,1301,2019-11-05.13:20:29
wiki-links,5710993,130160392,tarjan,1,3516.861,-1,-1,-1,2002220,1998569,2692,605,2019-11-05.13:20:37
wiki_talk_en,2987536,24981163,tarjan,1,421.411,-1,-1,-1,2736716,2735641,992,58,2019-11-05.13:20:39
youtube-links,1138500,4942297,tarjan,1,189.169,-1,-1,-1,613423,602053,8696,1709,2019-11-05.13:20:40
baidu,2141301,17794839,fasttrim,1,99.262,598975,-1,598975,0,0,0,0,2019-11-05.13:20:41
-bakery.6,11845035,40400559,fasttrim,1,492.341,2636196,-1,2636196,0,0,0,0,2019-11-05.13:20:43
-cambridge.6,3354295,9483191,fasttrim,1,149.12,8412,-1,8412,0,0,0,0,2019-11-05.13:20:43
dbpedia,3966925,13820853,fasttrim,1,141.101,1437127,-1,1437127,0,0,0,0,2019-11-05.13:20:44
dbpedia-link,18268993,172183984,fasttrim,1,1100.316,8143619,-1,8143619,0,0,0,0,2019-11-05.13:20:51
-leader-filters.7,26302351,91692858,fasttrim,1,746.98,26302351,-1,26302351,0,0,0,0,2019-11-05.13:20:56
livej,4847571,68993773,fasttrim,1,431.545,592952,-1,592952,0,0,0,0,2019-11-05.13:20:59
patent,3774768,16518948,fasttrim,1,1345.739,3774768,-1,3774768,0,0,0,0,2019-11-05.13:21:01
pokec,1632804,30622564,fasttrim,1,125.533,212042,-1,212042,0,0,0,0,2019-11-05.13:21:02
random,10000001,100000000,fasttrim,1,1304.55,455,-1,455,0,0,0,0,2019-11-05.13:21:07
rmat,9999994,100000000,fasttrim,1,1092.411,2203713,-1,2203713,0,0,0,0,2019-11-05.13:21:13
ssca2,1048577,157877986,fasttrim,1,122.676,11,-1,11,0,0,0,0,2019-11-05.13:21:17
wiki_link_en,12150977,378142420,fasttrim,1,953.724,37102,-1,37102,0,0,0,0,2019-11-05.13:21:29
wiki-links,5710993,130160392,fasttrim,1,453.731,7415,-1,7415,0,0,0,0,2019-11-05.13:21:34
wiki_talk_en,2987536,24981163,fasttrim,1,49.469,2611598,-1,2611598,0,0,0,0,2019-11-05.13:21:36
youtube-links,1138500,4942297,fasttrim,1,40.333,600414,-1,600414,0,0,0,0,2019-11-05.13:21:36
baidu,2141301,17794839,trim,1,185.09,598975,9,598975,598975,598975,0,0,2019-11-05.13:21:37
-bakery.6,11845035,40400559,trim,1,3176.092,2636196,47,2636196,2636196,2636196,0,0,2019-11-05.13:21:42
-cambridge.6,3354295,9483191,trim,1,946.129,8412,65,8412,8412,8412,0,0,2019-11-05.13:21:44
dbpedia,3966925,13820853,trim,1,3217.168,1437127,116,1437127,1437127,1437127,0,0,2019-11-05.13:21:48
dbpedia-link,18268993,172183984,trim,1,1045.717,8143619,5,8143619,8143619,8143619,0,0,2019-11-05.13:21:55
-leader-filters.7,26302351,91692858,trim,1,3878.648,26302351,73,26302351,26302351,26302351,0,0,2019-11-05.13:22:02
livej,4847571,68993773,trim,1,517.583,592952,8,592952,592952,592952,0,0,2019-11-05.13:22:05
patent,3774768,16518948,trim,1,616.075,3774768,22,3774768,3774768,3774768,0,0,2019-11-05.13:22:06
pokec,1632804,30622564,trim,1,103.862,212042,5,212042,212042,212042,0,0,2019-11-05.13:22:08
random,10000001,100000000,trim,1,361.107,455,2,455,455,455,0,0,2019-11-05.13:22:12
rmat,9999994,100000000,trim,1,1008.358,2203713,6,2203713,2203713,2203713,0,0,2019-11-05.13:22:17
ssca2,1048577,157877986,trim,1,42.855,11,2,11,11,11,0,0,2019-11-05.13:22:22
wiki_link_en,12150977,378142420,trim,1,797.966,37102,4,37102,37102,37102,0,0,2019-11-05.13:22:34
wiki-links,5710993,130160392,trim,1,390.554,7415,4,7415,7415,7415,0,0,2019-11-05.13:22:38
wiki_talk_en,2987536,24981163,trim,1,53.726,2611598,7,2611598,2611598,2611598,0,0,2019-11-05.13:22:40
youtube-links,1138500,4942297,trim,1,37.693,600414,6,600414,600414,600414,0,0,2019-11-05.13:22:41
baidu,2141301,17794839,ufscc,1,1062.992,-1,-1,-1,1503004,1480722,18688,2473,2019-11-05.13:22:42
-bakery.6,11845035,40400559,ufscc,1,2503.781,-1,-1,-1,2636212,2636197,0,0,2019-11-05.13:22:47
-cambridge.6,3354295,9483191,ufscc,1,574.68,-1,-1,-1,8413,8412,0,0,2019-11-05.13:22:48
dbpedia,3966925,13820853,ufscc,1,602.538,-1,-1,-1,3636316,3587274,24933,8868,2019-11-05.13:22:49
dbpedia-link,18268993,172183984,ufscc,1,10682.819,-1,-1,-1,14459547,14450686,7201,1107,2019-11-05.13:23:06
-leader-filters.7,26302351,91692858,ufscc,1,1844.146,-1,-1,-1,26302351,26302351,0,0,2019-11-05.13:23:11
livej,4847571,68993773,ufscc,1,5652.555,-1,-1,-1,971232,947776,16875,3280,2019-11-05.13:23:19
patent,3774768,16518948,ufscc,1,1294.949,-1,-1,-1,3774768,3774768,0,0,2019-11-05.13:23:21
pokec,1632804,30622564,ufscc,1,2771.422,-1,-1,-1,325893,323799,1904,151,2019-11-05.13:23:25
random,10000001,100000000,ufscc,1,18210.119,-1,-1,-1,877,876,0,0,2019-11-05.13:23:47
rmat,9999994,100000000,ufscc,1,16153.711,-1,-1,-1,2247072,2247071,0,0,2019-11-05.13:24:08
ssca2,1048577,157877986,ufscc,1,2594.501,-1,-1,-1,31,29,1,0,2019-11-05.13:24:15
wiki_link_en,12150977,378142420,ufscc,1,17416.478,-1,-1,-1,4852900,4846174,3205,1301,2019-11-05.13:24:43
wiki-links,5710993,130160392,ufscc,1,8556.75,-1,-1,-1,2002220,1998569,2692,605,2019-11-05.13:24:56
wiki_talk_en,2987536,24981163,ufscc,1,1002.131,-1,-1,-1,2736716,2735641,992,58,2019-11-05.13:24:59
youtube-links,1138500,4942297,ufscc,1,431.791,-1,-1,-1,613423,602053,8696,1709,2019-11-05.13:25:00
baidu,2141301,17794839,fasttrim,2,53.901,598975,-1,598975,0,0,0,0,2019-11-05.13:25:01
-bakery.6,11845035,40400559,fasttrim,2,292.382,2636196,-1,2636196,0,0,0,0,2019-11-05.13:25:03
-cambridge.6,3354295,9483191,fasttrim,2,77.773,8412,-1,8412,0,0,0,0,2019-11-05.13:25:03
dbpedia,3966925,13820853,fasttrim,2,75.469,1437127,-1,1437127,0,0,0,0,2019-11-05.13:25:04
dbpedia-link,18268993,172183984,fasttrim,2,613.921,8143619,-1,8143619,0,0,0,0,2019-11-05.13:25:10
-leader-filters.7,26302351,91692858,fasttrim,2,995.533,26302351,-1,26302351,0,0,0,0,2019-11-05.13:25:15
livej,4847571,68993773,fasttrim,2,225.721,592952,-1,592952,0,0,0,0,2019-11-05.13:25:17
patent,3774768,16518948,fasttrim,2,707.099,3774768,-1,3774768,0,0,0,0,2019-11-05.13:25:18
pokec,1632804,30622564,fasttrim,2,63.443,212042,-1,212042,0,0,0,0,2019-11-05.13:25:20
random,10000001,100000000,fasttrim,2,639.265,455,-1,455,0,0,0,0,2019-11-05.13:25:24
rmat,9999994,100000000,fasttrim,2,575.336,2203713,-1,2203713,0,0,0,0,2019-11-05.13:25:29
ssca2,1048577,157877986,fasttrim,2,67.442,11,-1,11,0,0,0,0,2019-11-05.13:25:33
wiki_link_en,12150977,378142420,fasttrim,2,511.941,37102,-1,37102,0,0,0,0,2019-11-05.13:25:44
wiki-links,5710993,130160392,fasttrim,2,230.763,7415,-1,7415,0,0,0,0,2019-11-05.13:25:48
wiki_talk_en,2987536,24981163,fasttrim,2,22.615,2611598,-1,2611598,0,0,0,0,2019-11-05.13:25:51
youtube-links,1138500,4942297,fasttrim,2,21.351,600414,-1,600414,0,0,0,0,2019-11-05.13:25:51
baidu,2141301,17794839,trim,2,103.817,598975,9,598975,598975,598975,0,0,2019-11-05.13:25:52
-bakery.6,11845035,40400559,trim,2,1921.097,2636196,47,2636196,2636196,2636196,0,0,2019-11-05.13:25:55
-cambridge.6,3354295,9483191,trim,2,581.767,8412,65,8412,8412,8412,0,0,2019-11-05.13:25:56
dbpedia,3966925,13820853,trim,2,1844.688,1437127,115,1437127,1437127,1437127,0,0,2019-11-05.13:25:59
dbpedia-link,18268993,172183984,trim,2,548.516,8143619,5,8143619,8143619,8143619,0,0,2019-11-05.13:26:05
-leader-filters.7,26302351,91692858,trim,2,2621.437,26302351,73,26302351,26302351,26302351,0,0,2019-11-05.13:26:11
livej,4847571,68993773,trim,2,298.531,592952,8,592952,592952,592952,0,0,2019-11-05.13:26:14
patent,3774768,16518948,trim,2,329.833,3774768,22,3774768,3774768,3774768,0,0,2019-11-05.13:26:15
pokec,1632804,30622564,trim,2,59.743,212042,5,212042,212042,212042,0,0,2019-11-05.13:26:16
random,10000001,100000000,trim,2,199.095,455,2,455,455,455,0,0,2019-11-05.13:26:20
rmat,9999994,100000000,trim,2,525.268,2203713,6,2203713,2203713,2203713,0,0,2019-11-05.13:26:24
ssca2,1048577,157877986,trim,2,50.529,11,2,11,11,11,0,0,2019-11-05.13:26:29
wiki_link_en,12150977,378142420,trim,2,389.464,37102,4,37102,37102,37102,0,0,2019-11-05.13:26:40
wiki-links,5710993,130160392,trim,2,213.058,7415,4,7415,7415,7415,0,0,2019-11-05.13:26:44
wiki_talk_en,2987536,24981163,trim,2,33.775,2611598,7,2611598,2611598,2611598,0,0,2019-11-05.13:26:47
youtube-links,1138500,4942297,trim,2,21.539,600414,6,600414,600414,600414,0,0,2019-11-05.13:26:47
baidu,2141301,17794839,ufscc,2,560.622,-1,-1,-1,1503004,1480722,18688,2473,2019-11-05.13:26:48
-bakery.6,11845035,40400559,ufscc,2,1426.833,-1,-1,-1,2636212,2636197,0,0,2019-11-05.13:26:51
-cambridge.6,3354295,9483191,ufscc,2,295.131,-1,-1,-1,8413,8412,0,0,2019-11-05.13:26:52
dbpedia,3966925,13820853,ufscc,2,307.828,-1,-1,-1,3636316,3587274,24933,8868,2019-11-05.13:26:53
dbpedia-link,18268993,172183984,ufscc,2,5962.686,-1,-1,-1,14459547,14450686,7201,1107,2019-11-05.13:27:05
-leader-filters.7,26302351,91692858,ufscc,2,1074.186,-1,-1,-1,26302351,26302351,0,0,2019-11-05.13:27:09
livej,4847571,68993773,ufscc,2,3086.531,-1,-1,-1,971232,947776,16875,3280,2019-11-05.13:27:14
patent,3774768,16518948,ufscc,2,650.964,-1,-1,-1,3774768,3774768,0,0,2019-11-05.13:27:16
pokec,1632804,30622564,ufscc,2,1501.942,-1,-1,-1,325893,323799,1904,151,2019-11-05.13:27:18
random,10000001,100000000,ufscc,2,10342.246,-1,-1,-1,877,876,0,0,2019-11-05.13:27:33
rmat,9999994,100000000,ufscc,2,8166.657,-1,-1,-1,2247072,2247071,0,0,2019-11-05.13:27:45
ssca2,1048577,157877986,ufscc,2,1477.124,-1,-1,-1,31,29,1,0,2019-11-05.13:27:50
wiki_link_en,12150977,378142420,ufscc,2,9560.258,-1,-1,-1,4852900,4846174,3205,1301,2019-11-05.13:28:12
wiki-links,5710993,130160392,ufscc,2,4381.471,-1,-1,-1,2002220,1998569,2692,605,2019-11-05.13:28:21
wiki_talk_en,2987536,24981163,ufscc,2,534.445,-1,-1,-1,2736716,2735641,992,58,2019-11-05.13:28:23
youtube-links,1138500,4942297,ufscc,2,250.494,-1,-1,-1,613423,602053,8696,1709,2019-11-05.13:28:24
baidu,2141301,17794839,fasttrim,4,28.599,598975,-1,598975,0,0,0,0,2019-11-05.13:28:25
-bakery.6,11845035,40400559,fasttrim,4,157.365,2636196,-1,2636196,0,0,0,0,2019-11-05.13:28:26
-cambridge.6,3354295,9483191,fasttrim,4,42.55,8412,-1,8412,0,0,0,0,2019-11-05.13:28:27
dbpedia,3966925,13820853,fasttrim,4,42.309,1437127,-1,1437127,0,0,0,0,2019-11-05.13:28:27
dbpedia-link,18268993,172183984,fasttrim,4,325.689,8143619,-1,8143619,0,0,0,0,2019-11-05.13:28:33
-leader-filters.7,26302351,91692858,fasttrim,4,388.5,26302351,-1,26302351,0,0,0,0,2019-11-05.13:28:37
livej,4847571,68993773,fasttrim,4,116.241,592952,-1,592952,0,0,0,0,2019-11-05.13:28:39
patent,3774768,16518948,fasttrim,4,381.849,3774768,-1,3774768,0,0,0,0,2019-11-05.13:28:40
pokec,1632804,30622564,fasttrim,4,28.144,212042,-1,212042,0,0,0,0,2019-11-05.13:28:41
random,10000001,100000000,fasttrim,4,358.822,455,-1,455,0,0,0,0,2019-11-05.13:28:46
rmat,9999994,100000000,fasttrim,4,302.321,2203713,-1,2203713,0,0,0,0,2019-11-05.13:28:50
ssca2,1048577,157877986,fasttrim,4,36.426,11,-1,11,0,0,0,0,2019-11-05.13:28:54
