model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,push,vs,es,date
twitter_mpi,5258661,198362992,fasttrim,1,2029.180000,2906446,-1,2906446,2632870,0,0,0,0,0,4096,97,10,100,2021-06-23.10:07:10
twitter_mpi,52579683,196328321,fasttrim,1,4993.301000,30035309,-1,30035309,26271738,0,0,0,0,0,4096,1530,100,10,2021-06-23.10:12:10
twitter_mpi,10517661,389788892,fasttrim,1,3467.229000,4634244,-1,4634244,6436554,0,0,0,0,0,4096,8,20,100,2021-06-23.10:16:48
twitter_mpi,52579683,392655331,fasttrim,1,5798.871000,23491668,-1,23491668,31902607,0,0,0,0,0,4096,120,100,20,2021-06-23.10:21:51
twitter_mpi,15772507,583148685,fasttrim,1,3902.875000,5892629,-1,5892629,10567447,0,0,0,0,0,4096,79,30,100,2021-06-23.10:26:36
twitter_mpi,52579683,588983441,fasttrim,1,5909.523000,19907314,-1,19907314,35453390,0,0,0,0,0,4096,592,100,30,2021-06-23.10:33:09
twitter_mpi,21029562,795516910,fasttrim,1,3047.706000,6728410,-1,6728410,15021070,0,0,0,0,0,4096,10,40,100,2021-06-23.10:37:52
twitter_mpi,52579683,785261754,fasttrim,1,6148.186000,17360327,-1,17360327,37470073,0,0,0,0,0,4096,745,100,40,2021-06-23.10:43:45
twitter_mpi,26288048,982561328,fasttrim,1,4044.266000,7546611,-1,7546611,19545410,0,0,0,0,0,4096,252,50,100,2021-06-23.10:48:42
twitter_mpi,52579683,981637542,fasttrim,1,6098.420000,15398366,-1,15398366,39275999,0,0,0,0,0,4096,961,100,50,2021-06-23.10:54:48
twitter_mpi,31548473,1159853407,fasttrim,1,3931.518000,8313912,-1,8313912,24256306,0,0,0,0,0,4096,19,60,100,2021-06-23.10:59:42
twitter_mpi,52579683,1177977046,fasttrim,1,6250.537000,13772662,-1,13772662,40698766,0,0,0,0,0,4096,276,100,60,2021-06-23.11:05:51
twitter_mpi,36807074,1379939457,fasttrim,1,4458.161000,8601298,-1,8601298,29329502,0,0,0,0,0,4096,1302,70,100,2021-06-23.11:10:53
twitter_mpi,52579683,1374290161,fasttrim,1,5772.626000,12398383,-1,12398383,41909293,0,0,0,0,0,4096,420,100,70,2021-06-23.11:17:04
twitter_mpi,42062857,1575376974,fasttrim,1,5487.038000,9015063,-1,9015063,34344381,0,0,0,0,0,4096,369,80,100,2021-06-23.11:21:59
twitter_mpi,52579683,1570590595,fasttrim,1,5874.760000,11214280,-1,11214280,42989587,0,0,0,0,0,4096,393,100,80,2021-06-23.11:28:26
twitter_mpi,47320913,1772475357,fasttrim,1,4922.690000,9108384,-1,9108384,39401609,0,0,0,0,0,4096,451,90,100,2021-06-23.11:33:12
twitter_mpi,52579683,1766931117,fasttrim,1,5995.547000,10154182,-1,10154182,43975502,0,0,0,0,0,4096,380,100,90,2021-06-23.11:40:04
