model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,sccs,maxscc,size1,size2,size3,date
-cambridge.6,3354295,9483191,ufscc,1,581.241000,-1,-1,-1,8413,-1,8412,0,0,2019-11-08.13:00:55
dbpedia,3966925,13820853,ufscc,1,599.249000,-1,-1,-1,3636316,-1,3587274,24933,8868,2019-11-08.13:00:57
dbpedia-link,18268993,172183984,ufscc,1,11021.806000,-1,-1,-1,14459547,-1,14450686,7201,1107,2019-11-08.13:01:14
-leader-filters.7,26302351,91692858,ufscc,1,1872.989000,-1,-1,-1,26302351,-1,26302351,0,0,2019-11-08.13:01:19
livej,4847571,68993773,ufscc,1,5659.169000,-1,-1,-1,971232,-1,947776,16875,3280,2019-11-08.13:01:28
patent,3774768,16518948,ufscc,1,1342.693000,-1,-1,-1,3774768,-1,3774768,0,0,2019-11-08.13:01:30
pokec,1632804,30622564,ufscc,1,2738.984000,-1,-1,-1,325893,-1,323799,1904,151,2019-11-08.13:01:33
random,10000001,100000000,ufscc,1,18221.179000,-1,-1,-1,877,-1,876,0,0,2019-11-08.13:01:56
rmat,9999994,100000000,ufscc,1,16471.069000,-1,-1,-1,2247072,-1,2247071,0,0,2019-11-08.13:02:16
ssca2,1048577,157877986,ufscc,1,2751.554000,-1,-1,-1,31,-1,29,1,0,2019-11-08.13:02:24
wiki_link_en,12150977,378142420,ufscc,1,17357.120000,-1,-1,-1,4852900,-1,4846174,3205,1301,2019-11-08.13:02:52
wiki-links,5710993,130160392,ufscc,1,8614.133000,-1,-1,-1,2002220,-1,1998569,2692,605,2019-11-08.13:03:05
wiki_talk_en,2987536,24981163,ufscc,1,1003.669000,-1,-1,-1,2736716,-1,2735641,992,58,2019-11-08.13:03:09
youtube-links,1138500,4942297,ufscc,1,439.647000,-1,-1,-1,613423,-1,602053,8696,1709,2019-11-08.13:03:10
baidu,2141301,17794839,fasttrim,2,53.520000,598975,-1,598975,0,598975,0,0,0,2019-11-08.13:03:10
-bakery.6,11845035,40400559,fasttrim,2,290.739000,2636196,-1,2636196,0,2636196,0,0,0,2019-11-08.13:03:12
-cambridge.6,3354295,9483191,fasttrim,2,78.011000,8412,-1,8412,0,8412,0,0,0,2019-11-08.13:03:13
dbpedia,3966925,13820853,fasttrim,2,76.624000,1437127,-1,1437127,0,1437127,0,0,0,2019-11-08.13:03:14
dbpedia-link,18268993,172183984,fasttrim,2,598.935000,8143619,-1,8143619,0,8143619,0,0,0,2019-11-08.13:03:20
-leader-filters.7,26302351,91692858,fasttrim,2,946.138000,26302351,-1,26302351,0,26302351,0,0,0,2019-11-08.13:03:25
livej,4847571,68993773,fasttrim,2,227.951000,592952,-1,592952,0,592952,0,0,0,2019-11-08.13:03:27
patent,3774768,16518948,fasttrim,2,696.502000,3774768,-1,3774768,0,3774768,0,0,0,2019-11-08.13:03:28
