model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,sccs,maxscc,size1,size2,size3,date
-cambridge.6,3354295,9483191,ufscc,16,69.650000,-1,-1,-1,8413,-1,8412,0,0,2019-11-08.13:53:49
dbpedia,3966925,13820853,ufscc,16,62.207000,-1,-1,-1,3636316,-1,3587274,24933,8868,2019-11-08.13:53:50
dbpedia-link,18268993,172183984,ufscc,16,925.623000,-1,-1,-1,14459547,-1,14450686,7201,1107,2019-11-08.13:53:56
-leader-filters.7,26302351,91692858,ufscc,16,294.415000,-1,-1,-1,26302351,-1,26302351,0,0,2019-11-08.13:54:00
livej,4847571,68993773,ufscc,16,514.907000,-1,-1,-1,971232,-1,947776,16875,3280,2019-11-08.13:54:03
patent,3774768,16518948,ufscc,16,123.594000,-1,-1,-1,3774768,-1,3774768,0,0,2019-11-08.13:54:03
pokec,1632804,30622564,ufscc,16,231.345000,-1,-1,-1,325893,-1,323799,1904,151,2019-11-08.13:54:05
random,10000001,100000000,ufscc,16,1593.638000,-1,-1,-1,877,-1,876,0,0,2019-11-08.13:54:10
rmat,9999994,100000000,ufscc,16,1584.025000,-1,-1,-1,2247072,-1,2247071,0,0,2019-11-08.13:54:16
ssca2,1048577,157877986,ufscc,16,268.903000,-1,-1,-1,31,-1,29,1,0,2019-11-08.13:54:20
wiki_link_en,12150977,378142420,ufscc,16,1378.169000,-1,-1,-1,4852900,-1,4846174,3205,1301,2019-11-08.13:54:32
wiki-links,5710993,130160392,ufscc,16,680.655000,-1,-1,-1,2002220,-1,1998569,2692,605,2019-11-08.13:54:37
wiki_talk_en,2987536,24981163,ufscc,16,119.419000,-1,-1,-1,2736716,-1,2735641,992,58,2019-11-08.13:54:40
youtube-links,1138500,4942297,ufscc,16,43.786000,-1,-1,-1,613423,-1,602053,8696,1709,2019-11-08.13:54:40
baidu,2141301,17794839,tarjan,1,713.029000,-1,-1,-1,1503004,-1,1480722,18688,2473,2019-11-08.13:54:41
-bakery.6,11845035,40400559,tarjan,1,904.333000,-1,-1,-1,2636212,-1,2636197,0,0,2019-11-08.13:54:44
-cambridge.6,3354295,9483191,tarjan,1,157.716000,-1,-1,-1,8413,-1,8412,0,0,2019-11-08.13:54:45
dbpedia,3966925,13820853,tarjan,1,263.259000,-1,-1,-1,3636316,-1,3587274,24933,8868,2019-11-08.13:54:46
dbpedia-link,18268993,172183984,tarjan,1,4505.012000,-1,-1,-1,14459547,-1,14450686,7201,1107,2019-11-08.13:54:56
-leader-filters.7,26302351,91692858,tarjan,1,957.813000,-1,-1,-1,26302351,-1,26302351,0,0,2019-11-08.13:55:01
livej,4847571,68993773,tarjan,1,4492.813000,-1,-1,-1,971232,-1,947776,16875,3280,2019-11-08.13:55:08
patent,3774768,16518948,tarjan,1,8349.265000,-1,-1,-1,3774768,-1,3774768,0,0,2019-11-08.13:55:17
pokec,1632804,30622564,tarjan,1,1054.068000,-1,-1,-1,325893,-1,323799,1904,151,2019-11-08.13:55:19
random,10000001,100000000,tarjan,1,40806.317000,-1,-1,-1,877,-1,876,0,0,2019-11-08.13:56:04
rmat,9999994,100000000,tarjan,1,41425.476000,-1,-1,-1,2247072,-1,2247071,0,0,2019-11-08.13:56:50
ssca2,1048577,157877986,tarjan,1,866.770000,-1,-1,-1,31,-1,29,1,0,2019-11-08.13:56:55
wiki_link_en,12150977,378142420,tarjan,1,6909.609000,-1,-1,-1,4852900,-1,4846174,3205,1301,2019-11-08.13:57:13
wiki-links,5710993,130160392,tarjan,1,7747.617000,-1,-1,-1,2002220,-1,1998569,2692,605,2019-11-08.13:57:25
wiki_talk_en,2987536,24981163,tarjan,1,422.617000,-1,-1,-1,2736716,-1,2735641,992,58,2019-11-08.13:57:29
youtube-links,1138500,4942297,tarjan,1,187.844000,-1,-1,-1,613423,-1,602053,8696,1709,2019-11-08.13:57:29
baidu,2141301,17794839,fasttrim,1,100.589000,598975,-1,598975,0,598975,0,0,0,2019-11-08.13:57:30
-bakery.6,11845035,40400559,fasttrim,1,497.431000,2636196,-1,2636196,0,2636196,0,0,0,2019-11-08.13:57:32
-cambridge.6,3354295,9483191,fasttrim,1,149.412000,8412,-1,8412,0,8412,0,0,0,2019-11-08.13:57:33
dbpedia,3966925,13820853,fasttrim,1,135.158000,1437127,-1,1437127,0,1437127,0,0,0,2019-11-08.13:57:34
dbpedia-link,18268993,172183984,fasttrim,1,1069.255000,8143619,-1,8143619,0,8143619,0,0,0,2019-11-08.13:57:41
-leader-filters.7,26302351,91692858,fasttrim,1,788.672000,26302351,-1,26302351,0,26302351,0,0,0,2019-11-08.13:57:45
livej,4847571,68993773,fasttrim,1,448.338000,592952,-1,592952,0,592952,0,0,0,2019-11-08.13:57:48
patent,3774768,16518948,fasttrim,1,1329.155000,3774768,-1,3774768,0,3774768,0,0,0,2019-11-08.13:57:50
pokec,1632804,30622564,fasttrim,1,124.484000,212042,-1,212042,0,212042,0,0,0,2019-11-08.13:57:52
random,10000001,100000000,fasttrim,1,1368.242000,455,-1,455,0,455,0,0,0,2019-11-08.13:57:57
rmat,9999994,100000000,fasttrim,1,1109.047000,2203713,-1,2203713,0,2203713,0,0,0,2019-11-08.13:58:02
ssca2,1048577,157877986,fasttrim,1,125.332000,11,-1,11,0,11,0,0,0,2019-11-08.13:58:07
wiki_link_en,12150977,378142420,fasttrim,1,994.708000,37102,-1,37102,0,37102,0,0,0,2019-11-08.13:58:19
wiki-links,5710993,130160392,fasttrim,1,432.002000,7415,-1,7415,0,7415,0,0,0,2019-11-08.13:58:24
wiki_talk_en,2987536,24981163,fasttrim,1,45.157000,2611598,-1,2611598,0,2611598,0,0,0,2019-11-08.13:58:27
youtube-links,1138500,4942297,fasttrim,1,40.176000,600414,-1,600414,0,600414,0,0,0,2019-11-08.13:58:27
baidu,2141301,17794839,trim,1,179.275000,598975,9,598975,598975,598975,598975,0,0,2019-11-08.13:58:28
-bakery.6,11845035,40400559,trim,1,3189.952000,2636196,47,2636196,2636196,2636196,2636196,0,0,2019-11-08.13:58:33
-cambridge.6,3354295,9483191,trim,1,866.609000,8412,65,8412,8412,8412,8412,0,0,2019-11-08.13:58:34
dbpedia,3966925,13820853,trim,1,3230.652000,1437127,116,1437127,1437127,1437127,1437127,0,0,2019-11-08.13:58:38
dbpedia-link,18268993,172183984,trim,1,993.630000,8143619,5,8143619,8143619,8143619,8143619,0,0,2019-11-08.13:58:45
-leader-filters.7,26302351,91692858,trim,1,3880.937000,26302351,73,26302351,26302351,26302351,26302351,0,0,2019-11-08.13:58:53
livej,4847571,68993773,trim,1,534.493000,592952,8,592952,592952,592952,592952,0,0,2019-11-08.13:58:56
patent,3774768,16518948,trim,1,615.865000,3774768,22,3774768,3774768,3774768,3774768,0,0,2019-11-08.13:58:57
pokec,1632804,30622564,trim,1,101.451000,212042,5,212042,212042,212042,212042,0,0,2019-11-08.13:58:58
random,10000001,100000000,trim,1,358.818000,455,2,455,455,455,455,0,0,2019-11-08.13:59:03
rmat,9999994,100000000,trim,1,956.553000,2203713,6,2203713,2203713,2203713,2203713,0,0,2019-11-08.13:59:08
ssca2,1048577,157877986,trim,1,46.229000,11,2,11,11,11,11,0,0,2019-11-08.13:59:12
wiki_link_en,12150977,378142420,trim,1,687.395000,37102,4,37102,37102,37102,37102,0,0,2019-11-08.13:59:25
wiki-links,5710993,130160392,trim,1,393.101000,7415,4,7415,7415,7415,7415,0,0,2019-11-08.13:59:30
wiki_talk_en,2987536,24981163,trim,1,52.191000,2611598,7,2611598,2611598,2611598,2611598,0,0,2019-11-08.13:59:33
youtube-links,1138500,4942297,trim,1,36.610000,600414,6,600414,600414,600414,600414,0,0,2019-11-08.13:59:33
baidu,2141301,17794839,ufscc,1,1068.785000,-1,-1,-1,1503004,-1,1480722,18688,2473,2019-11-08.13:59:35
-bakery.6,11845035,40400559,ufscc,1,2497.232000,-1,-1,-1,2636212,-1,2636197,0,0,2019-11-08.13:59:39
-cambridge.6,3354295,9483191,ufscc,1,588.044000,-1,-1,-1,8413,-1,8412,0,0,2019-11-08.13:59:40
dbpedia,3966925,13820853,ufscc,1,573.225000,-1,-1,-1,3636316,-1,3587274,24933,8868,2019-11-08.13:59:41
dbpedia-link,18268993,172183984,ufscc,1,11139.098000,-1,-1,-1,14459547,-1,14450686,7201,1107,2019-11-08.13:59:59
-leader-filters.7,26302351,91692858,ufscc,1,1887.053000,-1,-1,-1,26302351,-1,26302351,0,0,2019-11-08.14:00:04
livej,4847571,68993773,ufscc,1,5683.357000,-1,-1,-1,971232,-1,947776,16875,3280,2019-11-08.14:00:12
patent,3774768,16518948,ufscc,1,1362.960000,-1,-1,-1,3774768,-1,3774768,0,0,2019-11-08.14:00:14
pokec,1632804,30622564,ufscc,1,2745.107000,-1,-1,-1,325893,-1,323799,1904,151,2019-11-08.14:00:18
random,10000001,100000000,ufscc,1,18308.964000,-1,-1,-1,877,-1,876,0,0,2019-11-08.14:00:41
rmat,9999994,100000000,ufscc,1,17075.732000,-1,-1,-1,2247072,-1,2247071,0,0,2019-11-08.14:01:02
ssca2,1048577,157877986,ufscc,1,2591.714000,-1,-1,-1,31,-1,29,1,0,2019-11-08.14:01:09
wiki_link_en,12150977,378142420,ufscc,1,17412.614000,-1,-1,-1,4852900,-1,4846174,3205,1301,2019-11-08.14:01:37
wiki-links,5710993,130160392,ufscc,1,8583.587000,-1,-1,-1,2002220,-1,1998569,2692,605,2019-11-08.14:01:50
wiki_talk_en,2987536,24981163,ufscc,1,993.555000,-1,-1,-1,2736716,-1,2735641,992,58,2019-11-08.14:01:54
youtube-links,1138500,4942297,ufscc,1,438.129000,-1,-1,-1,613423,-1,602053,8696,1709,2019-11-08.14:01:55
baidu,2141301,17794839,fasttrim,2,53.519000,598975,-1,598975,0,598975,0,0,0,2019-11-08.14:01:56
-bakery.6,11845035,40400559,fasttrim,2,288.118000,2636196,-1,2636196,0,2636196,0,0,0,2019-11-08.14:01:58
-cambridge.6,3354295,9483191,fasttrim,2,78.225000,8412,-1,8412,0,8412,0,0,0,2019-11-08.14:01:58
dbpedia,3966925,13820853,fasttrim,2,76.857000,1437127,-1,1437127,0,1437127,0,0,0,2019-11-08.14:01:59
dbpedia-link,18268993,172183984,fasttrim,2,677.233000,8143619,-1,8143619,0,8143619,0,0,0,2019-11-08.14:02:05
-leader-filters.7,26302351,91692858,fasttrim,2,945.511000,26302351,-1,26302351,0,26302351,0,0,0,2019-11-08.14:02:10
livej,4847571,68993773,fasttrim,2,220.390000,592952,-1,592952,0,592952,0,0,0,2019-11-08.14:02:12
patent,3774768,16518948,fasttrim,2,701.672000,3774768,-1,3774768,0,3774768,0,0,0,2019-11-08.14:02:14
pokec,1632804,30622564,fasttrim,2,62.551000,212042,-1,212042,0,212042,0,0,0,2019-11-08.14:02:15
random,10000001,100000000,fasttrim,2,651.703000,455,-1,455,0,455,0,0,0,2019-11-08.14:02:19
rmat,9999994,100000000,fasttrim,2,571.974000,2203713,-1,2203713,0,2203713,0,0,0,2019-11-08.14:02:24
ssca2,1048577,157877986,fasttrim,2,56.566000,11,-1,11,0,11,0,0,0,2019-11-08.14:02:28
wiki_link_en,12150977,378142420,fasttrim,2,506.056000,37102,-1,37102,0,37102,0,0,0,2019-11-08.14:02:40
wiki-links,5710993,130160392,fasttrim,2,238.471000,7415,-1,7415,0,7415,0,0,0,2019-11-08.14:02:44
wiki_talk_en,2987536,24981163,fasttrim,2,22.342000,2611598,-1,2611598,0,2611598,0,0,0,2019-11-08.14:02:47
youtube-links,1138500,4942297,fasttrim,2,21.932000,600414,-1,600414,0,600414,0,0,0,2019-11-08.14:02:47
baidu,2141301,17794839,trim,2,102.027000,598975,9,598975,598975,598975,598975,0,0,2019-11-08.14:02:48
-bakery.6,11845035,40400559,trim,2,1880.554000,2636196,46,2636196,2636196,2636196,2636196,0,0,2019-11-08.14:02:51
-cambridge.6,3354295,9483191,trim,2,548.255000,8412,65,8412,8412,8412,8412,0,0,2019-11-08.14:02:52
dbpedia,3966925,13820853,trim,2,1841.550000,1437127,115,1437127,1437127,1437127,1437127,0,0,2019-11-08.14:02:55
dbpedia-link,18268993,172183984,trim,2,533.025000,8143619,5,8143619,8143619,8143619,8143619,0,0,2019-11-08.14:03:01
-leader-filters.7,26302351,91692858,trim,2,2648.250000,26302351,73,26302351,26302351,26302351,26302351,0,0,2019-11-08.14:03:07
livej,4847571,68993773,trim,2,306.810000,592952,8,592952,592952,592952,592952,0,0,2019-11-08.14:03:10
patent,3774768,16518948,trim,2,329.005000,3774768,22,3774768,3774768,3774768,3774768,0,0,2019-11-08.14:03:11
pokec,1632804,30622564,trim,2,56.647000,212042,5,212042,212042,212042,212042,0,0,2019-11-08.14:03:12
random,10000001,100000000,trim,2,191.820000,455,2,455,455,455,455,0,0,2019-11-08.14:03:16
rmat,9999994,100000000,trim,2,532.877000,2203713,6,2203713,2203713,2203713,2203713,0,0,2019-11-08.14:03:21
ssca2,1048577,157877986,trim,2,22.778000,11,2,11,11,11,11,0,0,2019-11-08.14:03:25
wiki_link_en,12150977,378142420,trim,2,373.390000,37102,4,37102,37102,37102,37102,0,0,2019-11-08.14:03:37
wiki-links,5710993,130160392,trim,2,211.718000,7415,4,7415,7415,7415,7415,0,0,2019-11-08.14:03:42
wiki_talk_en,2987536,24981163,trim,2,37.403000,2611598,7,2611598,2611598,2611598,2611598,0,0,2019-11-08.14:03:44
youtube-links,1138500,4942297,trim,2,21.107000,600414,6,600414,600414,600414,600414,0,0,2019-11-08.14:03:45
baidu,2141301,17794839,ufscc,2,580.094000,-1,-1,-1,1503004,-1,1480722,18688,2473,2019-11-08.14:03:46
-bakery.6,11845035,40400559,ufscc,2,1677.012000,-1,-1,-1,2636212,-1,2636197,0,0,2019-11-08.14:03:49
-cambridge.6,3354295,9483191,ufscc,2,305.248000,-1,-1,-1,8413,-1,8412,0,0,2019-11-08.14:03:50
dbpedia,3966925,13820853,ufscc,2,299.695000,-1,-1,-1,3636316,-1,3587274,24933,8868,2019-11-08.14:03:51
dbpedia-link,18268993,172183984,ufscc,2,5743.333000,-1,-1,-1,14459547,-1,14450686,7201,1107,2019-11-08.14:04:02
-leader-filters.7,26302351,91692858,ufscc,2,1105.264000,-1,-1,-1,26302351,-1,26302351,0,0,2019-11-08.14:04:07
livej,4847571,68993773,ufscc,2,3212.837000,-1,-1,-1,971232,-1,947776,16875,3280,2019-11-08.14:04:12
patent,3774768,16518948,ufscc,2,688.010000,-1,-1,-1,3774768,-1,3774768,0,0,2019-11-08.14:04:14
pokec,1632804,30622564,ufscc,2,1496.556000,-1,-1,-1,325893,-1,323799,1904,151,2019-11-08.14:04:16
random,10000001,100000000,ufscc,2,9958.563000,-1,-1,-1,877,-1,876,0,0,2019-11-08.14:04:30
rmat,9999994,100000000,ufscc,2,8594.092000,-1,-1,-1,2247072,-1,2247071,0,0,2019-11-08.14:04:43
ssca2,1048577,157877986,ufscc,2,1426.333000,-1,-1,-1,31,-1,29,1,0,2019-11-08.14:04:49
wiki_link_en,12150977,378142420,ufscc,2,9576.580000,-1,-1,-1,4852900,-1,4846174,3205,1301,2019-11-08.14:05:09
wiki-links,5710993,130160392,ufscc,2,4500.208000,-1,-1,-1,2002220,-1,1998569,2692,605,2019-11-08.14:05:18
wiki_talk_en,2987536,24981163,ufscc,2,542.080000,-1,-1,-1,2736716,-1,2735641,992,58,2019-11-08.14:05:21
youtube-links,1138500,4942297,ufscc,2,260.925000,-1,-1,-1,613423,-1,602053,8696,1709,2019-11-08.14:05:22
baidu,2141301,17794839,fasttrim,4,28.534000,598975,-1,598975,0,598975,0,0,0,2019-11-08.14:05:22
-bakery.6,11845035,40400559,fasttrim,4,156.750000,2636196,-1,2636196,0,2636196,0,0,0,2019-11-08.14:05:24
-cambridge.6,3354295,9483191,fasttrim,4,42.707000,8412,-1,8412,0,8412,0,0,0,2019-11-08.14:05:24
dbpedia,3966925,13820853,fasttrim,4,42.474000,1437127,-1,1437127,0,1437127,0,0,0,2019-11-08.14:05:25
dbpedia-link,18268993,172183984,fasttrim,4,326.194000,8143619,-1,8143619,0,8143619,0,0,0,2019-11-08.14:05:31
-leader-filters.7,26302351,91692858,fasttrim,4,384.543000,26302351,-1,26302351,0,26302351,0,0,0,2019-11-08.14:05:35
livej,4847571,68993773,fasttrim,4,116.353000,592952,-1,592952,0,592952,0,0,0,2019-11-08.14:05:37
patent,3774768,16518948,fasttrim,4,368.319000,3774768,-1,3774768,0,3774768,0,0,0,2019-11-08.14:05:39
pokec,1632804,30622564,fasttrim,4,28.275000,212042,-1,212042,0,212042,0,0,0,2019-11-08.14:05:40
random,10000001,100000000,fasttrim,4,348.187000,455,-1,455,0,455,0,0,0,2019-11-08.14:05:44
rmat,9999994,100000000,fasttrim,4,306.031000,2203713,-1,2203713,0,2203713,0,0,0,2019-11-08.14:05:48
ssca2,1048577,157877986,fasttrim,4,36.245000,11,-1,11,0,11,0,0,0,2019-11-08.14:05:52
wiki_link_en,12150977,378142420,fasttrim,4,265.501000,37102,-1,37102,0,37102,0,0,0,2019-11-08.14:06:03
wiki-links,5710993,130160392,fasttrim,4,125.283000,7415,-1,7415,0,7415,0,0,0,2019-11-08.14:06:08
wiki_talk_en,2987536,24981163,fasttrim,4,12.371000,2611598,-1,2611598,0,2611598,0,0,0,2019-11-08.14:06:10
youtube-links,1138500,4942297,fasttrim,4,12.249000,600414,-1,600414,0,600414,0,0,0,2019-11-08.14:06:11
baidu,2141301,17794839,trim,4,57.178000,598975,9,598975,598975,598975,598975,0,0,2019-11-08.14:06:11
-bakery.6,11845035,40400559,trim,4,1167.645000,2636196,47,2636196,2636196,2636196,2636196,0,0,2019-11-08.14:06:14
-cambridge.6,3354295,9483191,trim,4,326.704000,8412,65,8412,8412,8412,8412,0,0,2019-11-08.14:06:15
dbpedia,3966925,13820853,trim,4,955.666000,1437127,112,1437127,1437127,1437127,1437127,0,0,2019-11-08.14:06:16
dbpedia-link,18268993,172183984,trim,4,317.940000,8143619,5,8143619,8143619,8143619,8143619,0,0,2019-11-08.14:06:22
-leader-filters.7,26302351,91692858,trim,4,1678.770000,26302351,73,26302351,26302351,26302351,26302351,0,0,2019-11-08.14:06:28
livej,4847571,68993773,trim,4,177.945000,592952,8,592952,592952,592952,592952,0,0,2019-11-08.14:06:30
patent,3774768,16518948,trim,4,176.166000,3774768,22,3774768,3774768,3774768,3774768,0,0,2019-11-08.14:06:31
pokec,1632804,30622564,trim,4,36.766000,212042,5,212042,212042,212042,212042,0,0,2019-11-08.14:06:32
random,10000001,100000000,trim,4,109.418000,455,2,455,455,455,455,0,0,2019-11-08.14:06:36
rmat,9999994,100000000,trim,4,296.039000,2203713,6,2203713,2203713,2203713,2203713,0,0,2019-11-08.14:06:40
ssca2,1048577,157877986,trim,4,13.000000,11,2,11,11,11,11,0,0,2019-11-08.14:06:44
wiki_link_en,12150977,378142420,trim,4,241.716000,37102,4,37102,37102,37102,37102,0,0,2019-11-08.14:06:55
wiki-links,5710993,130160392,trim,4,131.730000,7415,4,7415,7415,7415,7415,0,0,2019-11-08.14:07:00
wiki_talk_en,2987536,24981163,trim,4,20.440000,2611598,7,2611598,2611598,2611598,2611598,0,0,2019-11-08.14:07:02
youtube-links,1138500,4942297,trim,4,13.908000,600414,6,600414,600414,600414,600414,0,0,2019-11-08.14:07:03
baidu,2141301,17794839,ufscc,4,305.374000,-1,-1,-1,1503004,-1,1480722,18688,2473,2019-11-08.14:07:04
-bakery.6,11845035,40400559,ufscc,4,1013.359000,-1,-1,-1,2636212,-1,2636197,0,0,2019-11-08.14:07:06
-cambridge.6,3354295,9483191,ufscc,4,160.294000,-1,-1,-1,8413,-1,8412,0,0,2019-11-08.14:07:07
dbpedia,3966925,13820853,ufscc,4,159.796000,-1,-1,-1,3636316,-1,3587274,24933,8868,2019-11-08.14:07:08
dbpedia-link,18268993,172183984,ufscc,4,3132.832000,-1,-1,-1,14459547,-1,14450686,7201,1107,2019-11-08.14:07:16
-leader-filters.7,26302351,91692858,ufscc,4,630.561000,-1,-1,-1,26302351,-1,26302351,0,0,2019-11-08.14:07:20
livej,4847571,68993773,ufscc,4,1660.712000,-1,-1,-1,971232,-1,947776,16875,3280,2019-11-08.14:07:24
patent,3774768,16518948,ufscc,4,354.147000,-1,-1,-1,3774768,-1,3774768,0,0,2019-11-08.14:07:25
pokec,1632804,30622564,ufscc,4,774.645000,-1,-1,-1,325893,-1,323799,1904,151,2019-11-08.14:07:27
random,10000001,100000000,ufscc,4,5037.645000,-1,-1,-1,877,-1,876,0,0,2019-11-08.14:07:36
rmat,9999994,100000000,ufscc,4,4522.105000,-1,-1,-1,2247072,-1,2247071,0,0,2019-11-08.14:07:44
ssca2,1048577,157877986,ufscc,4,885.398000,-1,-1,-1,31,-1,29,1,0,2019-11-08.14:07:50
wiki_link_en,12150977,378142420,ufscc,4,4939.526000,-1,-1,-1,4852900,-1,4846174,3205,1301,2019-11-08.14:08:05
wiki-links,5710993,130160392,ufscc,4,2456.563000,-1,-1,-1,2002220,-1,1998569,2692,605,2019-11-08.14:08:12
wiki_talk_en,2987536,24981163,ufscc,4,292.295000,-1,-1,-1,2736716,-1,2735641,992,58,2019-11-08.14:08:15
youtube-links,1138500,4942297,ufscc,4,146.691000,-1,-1,-1,613423,-1,602053,8696,1709,2019-11-08.14:08:16
baidu,2141301,17794839,fasttrim,6,31.516000,598975,-1,598975,0,598975,0,0,0,2019-11-08.14:08:16
-bakery.6,11845035,40400559,fasttrim,6,119.914000,2636196,-1,2636196,0,2636196,0,0,0,2019-11-08.14:08:18
-cambridge.6,3354295,9483191,fasttrim,6,32.109000,8412,-1,8412,0,8412,0,0,0,2019-11-08.14:08:19
dbpedia,3966925,13820853,fasttrim,6,50.077000,1437127,-1,1437127,0,1437127,0,0,0,2019-11-08.14:08:19
dbpedia-link,18268993,172183984,fasttrim,6,258.801000,8143619,-1,8143619,0,8143619,0,0,0,2019-11-08.14:08:25
-leader-filters.7,26302351,91692858,fasttrim,6,282.284000,26302351,-1,26302351,0,26302351,0,0,0,2019-11-08.14:08:29
livej,4847571,68993773,fasttrim,6,88.374000,592952,-1,592952,0,592952,0,0,0,2019-11-08.14:08:31
patent,3774768,16518948,fasttrim,6,286.414000,3774768,-1,3774768,0,3774768,0,0,0,2019-11-08.14:08:32
pokec,1632804,30622564,fasttrim,6,23.004000,212042,-1,212042,0,212042,0,0,0,2019-11-08.14:08:33
random,10000001,100000000,fasttrim,6,261.511000,455,-1,455,0,455,0,0,0,2019-11-08.14:08:37
rmat,9999994,100000000,fasttrim,6,229.564000,2203713,-1,2203713,0,2203713,0,0,0,2019-11-08.14:08:41
ssca2,1048577,157877986,fasttrim,6,28.191000,11,-1,11,0,11,0,0,0,2019-11-08.14:08:46
wiki_link_en,12150977,378142420,fasttrim,6,214.937000,37102,-1,37102,0,37102,0,0,0,2019-11-08.14:08:57
wiki-links,5710993,130160392,fasttrim,6,99.754000,7415,-1,7415,0,7415,0,0,0,2019-11-08.14:09:01
wiki_talk_en,2987536,24981163,fasttrim,6,10.469000,2611598,-1,2611598,0,2611598,0,0,0,2019-11-08.14:09:03
youtube-links,1138500,4942297,fasttrim,6,11.080000,600414,-1,600414,0,600414,0,0,0,2019-11-08.14:09:04
baidu,2141301,17794839,trim,6,44.828000,598975,9,598975,598975,598975,598975,0,0,2019-11-08.14:09:04
-bakery.6,11845035,40400559,trim,6,975.295000,2636196,48,2636196,2636196,2636196,2636196,0,0,2019-11-08.14:09:07
-cambridge.6,3354295,9483191,trim,6,309.029000,8412,65,8412,8412,8412,8412,0,0,2019-11-08.14:09:08
dbpedia,3966925,13820853,trim,6,726.938000,1437127,112,1437127,1437127,1437127,1437127,0,0,2019-11-08.14:09:09
dbpedia-link,18268993,172183984,trim,6,236.840000,8143619,5,8143619,8143619,8143619,8143619,0,0,2019-11-08.14:09:15
-leader-filters.7,26302351,91692858,trim,6,1495.183000,26302351,73,26302351,26302351,26302351,26302351,0,0,2019-11-08.14:09:20
livej,4847571,68993773,trim,6,146.478000,592952,8,592952,592952,592952,592952,0,0,2019-11-08.14:09:22
patent,3774768,16518948,trim,6,136.635000,3774768,22,3774768,3774768,3774768,3774768,0,0,2019-11-08.14:09:23
pokec,1632804,30622564,trim,6,31.536000,212042,5,212042,212042,212042,212042,0,0,2019-11-08.14:09:24
random,10000001,100000000,trim,6,83.149000,455,2,455,455,455,455,0,0,2019-11-08.14:09:28
rmat,9999994,100000000,trim,6,227.824000,2203713,6,2203713,2203713,2203713,2203713,0,0,2019-11-08.14:09:32
ssca2,1048577,157877986,trim,6,12.857000,11,2,11,11,11,11,0,0,2019-11-08.14:09:36
wiki_link_en,12150977,378142420,trim,6,197.293000,37102,4,37102,37102,37102,37102,0,0,2019-11-08.14:09:47
wiki-links,5710993,130160392,trim,6,95.706000,7415,4,7415,7415,7415,7415,0,0,2019-11-08.14:09:51
wiki_talk_en,2987536,24981163,trim,6,17.690000,2611598,7,2611598,2611598,2611598,2611598,0,0,2019-11-08.14:09:54
youtube-links,1138500,4942297,trim,6,10.734000,600414,6,600414,600414,600414,600414,0,0,2019-11-08.14:09:54
baidu,2141301,17794839,ufscc,6,216.512000,-1,-1,-1,1503004,-1,1480722,18688,2473,2019-11-08.14:09:55
-bakery.6,11845035,40400559,ufscc,6,698.801000,-1,-1,-1,2636212,-1,2636197,0,0,2019-11-08.14:09:58
-cambridge.6,3354295,9483191,ufscc,6,141.993000,-1,-1,-1,8413,-1,8412,0,0,2019-11-08.14:09:58
dbpedia,3966925,13820853,ufscc,6,121.064000,-1,-1,-1,3636316,-1,3587274,24933,8868,2019-11-08.14:09:59
dbpedia-link,18268993,172183984,ufscc,6,2181.390000,-1,-1,-1,14459547,-1,14450686,7201,1107,2019-11-08.14:10:07
-leader-filters.7,26302351,91692858,ufscc,6,519.979000,-1,-1,-1,26302351,-1,26302351,0,0,2019-11-08.14:10:11
livej,4847571,68993773,ufscc,6,1189.942000,-1,-1,-1,971232,-1,947776,16875,3280,2019-11-08.14:10:14
patent,3774768,16518948,ufscc,6,253.658000,-1,-1,-1,3774768,-1,3774768,0,0,2019-11-08.14:10:15
pokec,1632804,30622564,ufscc,6,568.750000,-1,-1,-1,325893,-1,323799,1904,151,2019-11-08.14:10:17
random,10000001,100000000,ufscc,6,3679.012000,-1,-1,-1,877,-1,876,0,0,2019-11-08.14:10:24
rmat,9999994,100000000,ufscc,6,4008.812000,-1,-1,-1,2247072,-1,2247071,0,0,2019-11-08.14:10:32
ssca2,1048577,157877986,ufscc,6,572.471000,-1,-1,-1,31,-1,29,1,0,2019-11-08.14:10:37
wiki_link_en,12150977,378142420,ufscc,6,3721.532000,-1,-1,-1,4852900,-1,4846174,3205,1301,2019-11-08.14:10:51
wiki-links,5710993,130160392,ufscc,6,1712.929000,-1,-1,-1,2002220,-1,1998569,2692,605,2019-11-08.14:10:57
wiki_talk_en,2987536,24981163,ufscc,6,230.419000,-1,-1,-1,2736716,-1,2735641,992,58,2019-11-08.14:11:00
youtube-links,1138500,4942297,ufscc,6,117.047000,-1,-1,-1,613423,-1,602053,8696,1709,2019-11-08.14:11:00
baidu,2141301,17794839,fasttrim,8,26.772000,598975,-1,598975,0,598975,0,0,0,2019-11-08.14:11:01
-bakery.6,11845035,40400559,fasttrim,8,99.014000,2636196,-1,2636196,0,2636196,0,0,0,2019-11-08.14:11:02
-cambridge.6,3354295,9483191,fasttrim,8,27.043000,8412,-1,8412,0,8412,0,0,0,2019-11-08.14:11:03
dbpedia,3966925,13820853,fasttrim,8,44.427000,1437127,-1,1437127,0,1437127,0,0,0,2019-11-08.14:11:04
dbpedia-link,18268993,172183984,fasttrim,8,212.541000,8143619,-1,8143619,0,8143619,0,0,0,2019-11-08.14:11:10
