model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,push,vs,es,date
wikitalk,2394385,5021410,ac4trim,1,45.099000,2262385,-1,2262385,3505342,0,0,0,0,0,4096,33,100,100,2021-06-09.15:13:07
wiki_talk_en,2987536,24981163,ac4trim,1,1918.757000,2293679,-1,2293679,4914635,0,0,0,0,0,4096,84,100,100,2021-06-09.15:13:13
ba-1m-8m,1000000,7999964,fasttrim,2,273.776000,1000000,-1,1000000,7051019,0,0,0,0,0,4096,29,100,100,2021-06-09.15:13:14
baidu,2141301,17794839,fasttrim,2,57.065000,597244,-1,597244,1054711,0,0,0,0,0,4096,110,100,100,2021-06-09.15:13:15
bakery.6,11845035,40400559,fasttrim,2,280.429000,2636196,-1,2636196,9115115,0,0,0,0,0,4096,50,100,100,2021-06-09.15:13:18
cambridge.6,3354295,9483191,fasttrim,2,77.133000,8412,-1,8412,1756335,0,0,0,0,0,4096,7,100,100,2021-06-09.15:13:18
dbpedia,3966925,13820853,fasttrim,2,72.815000,1437127,-1,1437127,2578873,0,0,0,0,0,4096,587,100,100,2021-06-09.15:13:19
er-1m-8m,1000000,8000000,fasttrim,2,32.273000,345,-1,345,508502,0,0,0,0,0,4096,1,100,100,2021-06-09.15:13:20
leader_filters.7,26302351,91692858,fasttrim,2,388.559000,26302351,-1,26302351,46735389,0,0,0,0,0,4096,85,100,100,2021-06-09.15:13:25
ba-1m-8m,1000000,7999964,fasttrim,1,418.884000,1000000,-1,1000000,7999964,0,0,0,0,0,4096,26,100,100,2021-06-09.15:15:32
baidu,2141301,17794839,fasttrim,1,88.240000,597244,-1,597244,2069785,0,0,0,0,0,4096,110,100,100,2021-06-09.15:15:34
bakery.6,11845035,40400559,fasttrim,1,455.666000,2636196,-1,2636196,18031467,0,0,0,0,0,4096,14,100,100,2021-06-09.15:15:37
cambridge.6,3354295,9483191,fasttrim,1,128.554000,8412,-1,8412,3361031,0,0,0,0,0,4096,7,100,100,2021-06-09.15:15:38
dbpedia,3966925,13820853,fasttrim,1,131.244000,1437127,-1,1437127,5078123,0,0,0,0,0,4096,356,100,100,2021-06-09.15:15:39
er-1m-8m,1000000,8000000,fasttrim,1,53.424000,345,-1,345,1000034,0,0,0,0,0,4096,1,100,100,2021-06-09.15:15:40
leader_filters.7,26302351,91692858,fasttrim,1,612.112000,26302351,-1,26302351,91692858,0,0,0,0,0,4096,5,100,100,2021-06-09.15:15:46
livej,4847571,68993773,fasttrim,1,366.872000,576074,-1,576074,4427386,0,0,0,0,0,4096,8,100,100,2021-06-09.15:15:53
patent,6009555,16518948,fasttrim,1,233.441000,6009552,-1,6009552,16518948,0,0,0,0,0,4096,53,100,100,2021-06-09.15:15:55
pokec,1632804,30622564,fasttrim,1,102.584000,212042,-1,212042,1458746,0,0,0,0,0,4096,7,100,100,2021-06-09.15:15:58
rmat-1m-8m,999760,7810950,fasttrim,1,115.524000,999760,-1,999760,7810950,0,0,0,0,0,4096,365,100,100,2021-06-09.15:15:58
ssca2,1048577,157877986,fasttrim,1,166.969000,11,-1,11,1048570,0,0,0,0,0,4096,1,100,100,2021-06-09.15:16:11
wiki-links,5710993,130160392,fasttrim,1,444.327000,7415,-1,7415,5706115,0,0,0,0,0,4096,549,100,100,2021-06-09.15:16:25
wikitalk,2394385,5021410,fasttrim,1,28.008000,2262385,-1,2262385,165886,0,0,0,0,0,4096,8,100,100,2021-06-09.15:16:25
wiki_talk_en,2987536,24981163,fasttrim,1,43.472000,2293679,-1,2293679,706993,0,0,0,0,0,4096,2,100,100,2021-06-09.15:16:30
ba-1m-8m,1000000,7999964,trim,1,197.282000,1000000,122,1000000,15383227,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:16:31
baidu,2141301,17794839,trim,1,145.569000,597244,9,597244,14450297,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:16:32
bakery.6,11845035,40400559,trim,1,3089.170000,2636196,47,2636196,470296542,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:16:38
cambridge.6,3354295,9483191,trim,1,875.880000,8412,65,8412,217582921,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:16:39
dbpedia,3966925,13820853,trim,1,2362.754000,1437127,116,1437127,296552971,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:16:43
er-1m-8m,1000000,8000000,trim,1,20.396000,345,3,345,2999345,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:16:44
leader_filters.7,26302351,91692858,trim,1,3656.243000,26302351,73,26302351,431332806,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:16:53
livej,4847571,68993773,trim,1,458.683000,576074,8,576074,34336301,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:16:59
patent,6009555,16518948,trim,1,157.430000,6009552,5,6009552,16740118,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:17:01
pokec,1632804,30622564,trim,1,110.631000,212042,5,212042,7145239,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:17:04
rmat-1m-8m,999760,7810950,trim,1,13508.348000,999760,6961,999760,787476302,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:17:18
ssca2,1048577,157877986,trim,1,97.612000,11,2,11,2097136,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:17:31
wiki-links,5710993,130160392,trim,1,343.995000,7415,4,7415,22819345,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:17:43
wikitalk,2394385,5021410,trim,1,22.663000,2262385,5,2262385,704451,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:17:43
wiki_talk_en,2987536,24981163,trim,1,63.341000,2293679,5,2293679,3486739,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:17:47
ba-1m-8m,1000000,7999964,ac4trim,1,146.362000,1000000,-1,1000000,7999964,0,0,0,0,0,4096,84,100,100,2021-06-09.15:17:48
baidu,2141301,17794839,ac4trim,1,90.932000,597244,-1,597244,4785826,0,0,0,0,0,4096,346,100,100,2021-06-09.15:17:50
bakery.6,11845035,40400559,ac4trim,1,42044.342000,2636196,-1,2636196,9270410,0,0,0,0,0,4096,20,100,100,2021-06-09.15:18:35
cambridge.6,3354295,9483191,ac4trim,1,23.763000,8412,-1,8412,18136,0,0,0,0,0,4096,17,100,100,2021-06-09.15:18:35
dbpedia,3966925,13820853,ac4trim,1,138.180000,1437127,-1,1437127,5816140,0,0,0,0,0,4096,16125,100,100,2021-06-09.15:18:36
er-1m-8m,1000000,8000000,ac4trim,1,14.285000,345,-1,345,2799,0,0,0,0,0,4096,1,100,100,2021-06-09.15:18:37
leader_filters.7,26302351,91692858,ac4trim,1,49500.354000,26302351,-1,26302351,91692858,0,0,0,0,0,4096,16,100,100,2021-06-09.15:19:32
livej,4847571,68993773,ac4trim,1,143.857000,576074,-1,576074,2136407,0,0,0,0,0,4096,274,100,100,2021-06-09.15:19:39
patent,6009555,16518948,ac4trim,1,6617.210000,6009552,-1,6009552,16518945,0,0,0,0,0,4096,133,100,100,2021-06-09.15:19:47
pokec,1632804,30622564,ac4trim,1,4295.538000,212042,-1,212042,1016552,0,0,0,0,0,4096,34,100,100,2021-06-09.15:19:54
rmat-1m-8m,999760,7810950,ac4trim,1,90.086000,999760,-1,999760,7810950,0,0,0,0,0,4096,300,100,100,2021-06-09.15:19:55
ssca2,1048577,157877986,ac4trim,1,3243.955000,11,-1,11,26,0,0,0,0,0,4096,1,100,100,2021-06-09.15:20:11
wiki-links,5710993,130160392,ac4trim,1,18545.772000,7415,-1,7415,54948,0,0,0,0,0,4096,549,100,100,2021-06-09.15:20:42
wikitalk,2394385,5021410,ac4trim,1,41.504000,2262385,-1,2262385,3505342,0,0,0,0,0,4096,33,100,100,2021-06-09.15:20:43
wiki_talk_en,2987536,24981163,ac4trim,1,1893.297000,2293679,-1,2293679,4914635,0,0,0,0,0,4096,84,100,100,2021-06-09.15:20:49
ba-1m-8m,1000000,7999964,fasttrim,2,252.449000,1000000,-1,1000000,6765107,0,0,0,0,0,4096,26,100,100,2021-06-09.15:20:50
baidu,2141301,17794839,fasttrim,2,58.073000,597244,-1,597244,1055422,0,0,0,0,0,4096,110,100,100,2021-06-09.15:20:51
bakery.6,11845035,40400559,fasttrim,2,272.877000,2636196,-1,2636196,9243601,0,0,0,0,0,4096,50,100,100,2021-06-09.15:20:53
cambridge.6,3354295,9483191,fasttrim,2,77.664000,8412,-1,8412,1756537,0,0,0,0,0,4096,7,100,100,2021-06-09.15:20:54
dbpedia,3966925,13820853,fasttrim,2,74.661000,1437127,-1,1437127,2547061,0,0,0,0,0,4096,532,100,100,2021-06-09.15:20:55
er-1m-8m,1000000,8000000,fasttrim,2,32.446000,345,-1,345,507935,0,0,0,0,0,4096,1,100,100,2021-06-09.15:20:56
leader_filters.7,26302351,91692858,fasttrim,2,419.390000,26302351,-1,26302351,46437293,0,0,0,0,0,4096,78,100,100,2021-06-09.15:21:01
livej,4847571,68993773,fasttrim,2,218.317000,576074,-1,576074,2239715,0,0,0,0,0,4096,8,100,100,2021-06-09.15:21:05
patent,6009555,16518948,fasttrim,2,127.005000,6009552,-1,6009552,8416225,0,0,0,0,0,4096,53,100,100,2021-06-09.15:21:07
pokec,1632804,30622564,fasttrim,2,81.916000,212042,-1,212042,729820,0,0,0,0,0,4096,7,100,100,2021-06-09.15:21:09
rmat-1m-8m,999760,7810950,fasttrim,2,97.203000,999760,-1,999760,7608447,0,0,0,0,0,4096,455,100,100,2021-06-09.15:21:10
ssca2,1048577,157877986,fasttrim,2,141.833000,11,-1,11,528381,0,0,0,0,0,4096,1,100,100,2021-06-09.15:21:19
wiki-links,5710993,130160392,fasttrim,2,255.831000,7415,-1,7415,2871300,0,0,0,0,0,4096,549,100,100,2021-06-09.15:21:28
wikitalk,2394385,5021410,fasttrim,2,15.613000,2262385,-1,2262385,88967,0,0,0,0,0,4096,8,100,100,2021-06-09.15:21:29
wiki_talk_en,2987536,24981163,fasttrim,2,43.082000,2293679,-1,2293679,353832,0,0,0,0,0,4096,2,100,100,2021-06-09.15:21:32
ba-1m-8m,1000000,7999964,trim,2,117.412000,1000000,119,1000000,8297577,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:21:32
baidu,2141301,17794839,trim,2,90.956000,597244,9,597244,7331417,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:21:34
bakery.6,11845035,40400559,trim,2,2059.051000,2636196,47,2636196,237596281,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:21:38
cambridge.6,3354295,9483191,trim,2,572.120000,8412,65,8412,109605922,0,0,0,0,0,4096,-1,100,100,2021-06-09.15:21:39
