model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,date
wiki_talk_en,2987536,24981163,ac4trim,-1,30.749000,2293679,-1,2293679,337978,0,0,0,0,0,128,2021-06-04.04:54:49
livej,4847571,68993773,fasttrim,-1,147.703000,576074,-1,576074,385800,0,0,0,0,0,256,2021-06-04.04:54:52
wiki_talk_en,2987536,24981163,fasttrim,-1,20.164000,2293679,-1,2293679,220360,0,0,0,0,0,256,2021-06-04.04:54:54
livej,4847571,68993773,trim,-1,212.442000,592952,8,592952,2546339,592952,1,592952,0,0,256,2021-06-04.04:54:57
wiki_talk_en,2987536,24981163,trim,-1,35.042000,2611598,7,2611598,262405,2611598,1,2611598,0,0,256,2021-06-04.04:54:59
livej,4847571,68993773,ac4trim,-1,21.965000,576074,-1,576074,167328,0,0,0,0,0,256,2021-06-04.04:55:02
wiki_talk_en,2987536,24981163,ac4trim,-1,27.309000,2293679,-1,2293679,339109,0,0,0,0,0,256,2021-06-04.04:55:04
livej,4847571,68993773,fasttrim,-1,208.494000,576074,-1,576074,359273,0,0,0,0,0,512,2021-06-04.04:55:07
wiki_talk_en,2987536,24981163,fasttrim,-1,26.640000,2293679,-1,2293679,196565,0,0,0,0,0,512,2021-06-04.04:55:09
livej,4847571,68993773,trim,-1,205.254000,592952,8,592952,2475519,592952,1,592952,0,0,512,2021-06-04.04:55:12
wiki_talk_en,2987536,24981163,trim,-1,15.464000,2611598,7,2611598,242143,2611598,1,2611598,0,0,512,2021-06-04.04:55:14
livej,4847571,68993773,ac4trim,-1,21.321000,576074,-1,576074,172072,0,0,0,0,0,512,2021-06-04.04:55:16
wiki_talk_en,2987536,24981163,ac4trim,-1,26.514000,2293679,-1,2293679,345368,0,0,0,0,0,512,2021-06-04.04:55:19
livej,4847571,68993773,fasttrim,-1,189.846000,576074,-1,576074,391833,0,0,0,0,0,1024,2021-06-04.04:55:22
wiki_talk_en,2987536,24981163,fasttrim,-1,20.150000,2293679,-1,2293679,243769,0,0,0,0,0,1024,2021-06-04.04:55:24
livej,4847571,68993773,trim,-1,118.823000,592952,8,592952,2622440,592952,1,592952,0,0,1024,2021-06-04.04:55:27
wiki_talk_en,2987536,24981163,trim,-1,17.092000,2611598,7,2611598,268759,2611598,1,2611598,0,0,1024,2021-06-04.04:55:29
livej,4847571,68993773,ac4trim,-1,20.292000,576074,-1,576074,167824,0,0,0,0,0,1024,2021-06-04.04:55:32
wiki_talk_en,2987536,24981163,ac4trim,-1,51.728000,2293679,-1,2293679,319740,0,0,0,0,0,1024,2021-06-04.04:55:34
livej,4847571,68993773,fasttrim,-1,174.748000,576074,-1,576074,331557,0,0,0,0,0,2048,2021-06-04.04:55:37
wiki_talk_en,2987536,24981163,fasttrim,-1,26.201000,2293679,-1,2293679,197637,0,0,0,0,0,2048,2021-06-04.04:55:39
livej,4847571,68993773,trim,-1,154.499000,592952,8,592952,2545020,592952,1,592952,0,0,2048,2021-06-04.04:55:42
wiki_talk_en,2987536,24981163,trim,-1,29.256000,2611598,7,2611598,265388,2611598,1,2611598,0,0,2048,2021-06-04.04:55:44
livej,4847571,68993773,ac4trim,-1,20.045000,576074,-1,576074,179089,0,0,0,0,0,2048,2021-06-04.04:55:46
wiki_talk_en,2987536,24981163,ac4trim,-1,49.481000,2293679,-1,2293679,318734,0,0,0,0,0,2048,2021-06-04.04:55:49
livej,4847571,68993773,fasttrim,-1,165.811000,576074,-1,576074,325338,0,0,0,0,0,4096,2021-06-04.04:55:52
wiki_talk_en,2987536,24981163,fasttrim,-1,22.630000,2293679,-1,2293679,238528,0,0,0,0,0,4096,2021-06-04.04:55:54
livej,4847571,68993773,trim,-1,157.059000,592952,8,592952,2540190,592952,1,592952,0,0,4096,2021-06-04.04:55:56
wiki_talk_en,2987536,24981163,trim,-1,12.002000,2611598,7,2611598,248682,2611598,1,2611598,0,0,4096,2021-06-04.04:55:59
livej,4847571,68993773,ac4trim,-1,19.920000,576074,-1,576074,163916,0,0,0,0,0,4096,2021-06-04.04:56:01
wiki_talk_en,2987536,24981163,ac4trim,-1,44.671000,2293679,-1,2293679,322346,0,0,0,0,0,4096,2021-06-04.04:56:03
livej,4847571,68993773,fasttrim,-1,172.098000,576074,-1,576074,346721,0,0,0,0,0,8192,2021-06-04.04:56:06
wiki_talk_en,2987536,24981163,fasttrim,-1,31.842000,2293679,-1,2293679,255006,0,0,0,0,0,8192,2021-06-04.04:56:08
livej,4847571,68993773,trim,-1,115.397000,592952,8,592952,2629910,592952,1,592952,0,0,8192,2021-06-04.04:56:11
wiki_talk_en,2987536,24981163,trim,-1,13.571000,2611598,6,2611598,251547,2611598,1,2611598,0,0,8192,2021-06-04.04:56:13
livej,4847571,68993773,ac4trim,-1,19.589000,576074,-1,576074,166042,0,0,0,0,0,8192,2021-06-04.04:56:16
wiki_talk_en,2987536,24981163,ac4trim,-1,24.805000,2293679,-1,2293679,342485,0,0,0,0,0,8192,2021-06-04.04:56:18
livej,4847571,68993773,fasttrim,-1,172.736000,576074,-1,576074,371589,0,0,0,0,0,16384,2021-06-04.04:56:21
wiki_talk_en,2987536,24981163,fasttrim,-1,24.034000,2293679,-1,2293679,230427,0,0,0,0,0,16384,2021-06-04.04:56:23
livej,4847571,68993773,trim,-1,172.027000,592952,8,592952,2642842,592952,1,592952,0,0,16384,2021-06-04.04:56:26
wiki_talk_en,2987536,24981163,trim,-1,14.318000,2611598,7,2611598,291473,2611598,1,2611598,0,0,16384,2021-06-04.04:56:28
livej,4847571,68993773,ac4trim,-1,19.846000,576074,-1,576074,175758,0,0,0,0,0,16384,2021-06-04.04:56:31
wiki_talk_en,2987536,24981163,ac4trim,-1,23.922000,2293679,-1,2293679,337071,0,0,0,0,0,16384,2021-06-04.04:56:33
livej,4847571,68993773,fasttrim,-1,171.865000,576074,-1,576074,340522,0,0,0,0,0,32768,2021-06-04.04:56:36
wiki_talk_en,2987536,24981163,fasttrim,-1,32.630000,2293679,-1,2293679,263262,0,0,0,0,0,32768,2021-06-04.04:56:38
livej,4847571,68993773,trim,-1,146.126000,592952,8,592952,2771974,592952,1,592952,0,0,32768,2021-06-04.04:56:41
wiki_talk_en,2987536,24981163,trim,-1,13.387000,2611598,7,2611598,313917,2611598,1,2611598,0,0,32768,2021-06-04.04:56:43
livej,4847571,68993773,ac4trim,-1,26.712000,576074,-1,576074,191407,0,0,0,0,0,32768,2021-06-04.04:56:46
wiki_talk_en,2987536,24981163,ac4trim,-1,23.718000,2293679,-1,2293679,340567,0,0,0,0,0,32768,2021-06-04.04:56:48
livej,4847571,68993773,fasttrim,-1,141.063000,576074,-1,576074,406896,0,0,0,0,0,65536,2021-06-04.04:56:51
wiki_talk_en,2987536,24981163,fasttrim,-1,14.542000,2293679,-1,2293679,328916,0,0,0,0,0,65536,2021-06-04.04:56:53
livej,4847571,68993773,trim,-1,118.672000,592952,8,592952,2855389,592952,1,592952,0,0,65536,2021-06-04.04:56:55
wiki_talk_en,2987536,24981163,trim,-1,38.430000,2611598,7,2611598,462312,2611598,1,2611598,0,0,65536,2021-06-04.04:56:58
livej,4847571,68993773,ac4trim,-1,20.625000,576074,-1,576074,202355,0,0,0,0,0,65536,2021-06-04.04:57:00
wiki_talk_en,2987536,24981163,ac4trim,-1,23.001000,2293679,-1,2293679,344475,0,0,0,0,0,65536,2021-06-04.04:57:03
livej,4847571,68993773,fasttrim,-1,170.236000,576074,-1,576074,411380,0,0,0,0,0,131072,2021-06-04.04:57:05
wiki_talk_en,2987536,24981163,fasttrim,-1,15.806000,2293679,-1,2293679,394562,0,0,0,0,0,131072,2021-06-04.04:57:08
livej,4847571,68993773,trim,-1,121.341000,592952,8,592952,2863271,592952,1,592952,0,0,131072,2021-06-04.04:57:11
wiki_talk_en,2987536,24981163,trim,-1,40.622000,2611598,6,2611598,656641,2611598,1,2611598,0,0,131072,2021-06-04.04:57:13
livej,4847571,68993773,ac4trim,-1,20.608000,576074,-1,576074,267599,0,0,0,0,0,131072,2021-06-04.04:57:15
wiki_talk_en,2987536,24981163,ac4trim,-1,28.734000,2293679,-1,2293679,457996,0,0,0,0,0,131072,2021-06-04.04:57:18
livej,4847571,68993773,fasttrim,-1,184.053000,576074,-1,576074,539790,0,0,0,0,0,262144,2021-06-04.04:57:20
wiki_talk_en,2987536,24981163,fasttrim,-1,22.273000,2293679,-1,2293679,264083,0,0,0,0,0,262144,2021-06-04.04:57:23
livej,4847571,68993773,trim,-1,107.813000,592952,7,592952,3121401,592952,1,592952,0,0,262144,2021-06-04.04:57:25
wiki_talk_en,2987536,24981163,trim,-1,23.545000,2611598,7,2611598,1179574,2611598,1,2611598,0,0,262144,2021-06-04.04:57:28
livej,4847571,68993773,ac4trim,-1,22.168000,576074,-1,576074,395750,0,0,0,0,0,262144,2021-06-04.04:57:30
wiki_talk_en,2987536,24981163,ac4trim,-1,26.356000,2293679,-1,2293679,475205,0,0,0,0,0,262144,2021-06-04.04:57:33
livej,4847571,68993773,fasttrim,-1,171.261000,576074,-1,576074,575936,0,0,0,0,0,524288,2021-06-04.04:57:35
wiki_talk_en,2987536,24981163,fasttrim,-1,18.801000,2293679,-1,2293679,527968,0,0,0,0,0,524288,2021-06-04.04:57:38
livej,4847571,68993773,trim,-1,196.248000,592952,9,592952,4682811,592952,1,592952,0,0,524288,2021-06-04.04:57:40
wiki_talk_en,2987536,24981163,trim,-1,33.685000,2611598,7,2611598,1653036,2611598,1,2611598,0,0,524288,2021-06-04.04:57:43
livej,4847571,68993773,ac4trim,-1,23.255000,576074,-1,576074,581028,0,0,0,0,0,524288,2021-06-04.04:57:45
wiki_talk_en,2987536,24981163,ac4trim,-1,29.405000,2293679,-1,2293679,936152,0,0,0,0,0,524288,2021-06-04.04:57:48
livej,4847571,68993773,fasttrim,-1,255.782000,576074,-1,576074,1105797,0,0,0,0,0,1048576,2021-06-04.04:57:51
wiki_talk_en,2987536,24981163,fasttrim,-1,30.754000,2293679,-1,2293679,1055334,0,0,0,0,0,1048576,2021-06-04.04:57:53
livej,4847571,68993773,trim,-1,281.561000,592952,9,592952,9289982,592952,1,592952,0,0,1048576,2021-06-04.04:57:56
wiki_talk_en,2987536,24981163,trim,-1,49.203000,2611598,7,2611598,2177352,2611598,1,2611598,0,0,1048576,2021-06-04.04:57:58
livej,4847571,68993773,ac4trim,-1,29.511000,576074,-1,576074,873388,0,0,0,0,0,1048576,2021-06-04.04:58:01
wiki_talk_en,2987536,24981163,ac4trim,-1,23.760000,2293679,-1,2293679,1736662,0,0,0,0,0,1048576,2021-06-04.04:58:03
livej,4847571,68993773,fasttrim,-1,502.369000,576074,-1,576074,324154,0,0,0,0,0,1,2021-06-04.04:58:06
wiki_talk_en,2987536,24981163,fasttrim,-1,523.218000,2293679,-1,2293679,194049,0,0,0,0,0,1,2021-06-04.04:58:09
livej,4847571,68993773,trim,-1,1836.495000,592952,9,592952,2898719,592952,1,592952,0,0,1,2021-06-04.04:58:13
wiki_talk_en,2987536,24981163,trim,-1,673.239000,2611598,7,2611598,256901,2611598,1,2611598,0,0,1,2021-06-04.04:58:16
livej,4847571,68993773,ac4trim,-1,157.455000,576074,-1,576074,167050,0,0,0,0,0,1,2021-06-04.04:58:19
wiki_talk_en,2987536,24981163,ac4trim,-1,233.033000,2293679,-1,2293679,361583,0,0,0,0,0,1,2021-06-04.04:58:22
livej,4847571,68993773,fasttrim,-1,369.694000,576074,-1,576074,323398,0,0,0,0,0,2,2021-06-04.04:58:25
wiki_talk_en,2987536,24981163,fasttrim,-1,375.786000,2293679,-1,2293679,195001,0,0,0,0,0,2,2021-06-04.04:58:27
livej,4847571,68993773,trim,-1,1573.103000,592952,9,592952,2714622,592952,1,592952,0,0,2,2021-06-04.04:58:31
wiki_talk_en,2987536,24981163,trim,-1,401.199000,2611598,7,2611598,250464,2611598,1,2611598,0,0,2,2021-06-04.04:58:34
livej,4847571,68993773,ac4trim,-1,88.807000,576074,-1,576074,179342,0,0,0,0,0,2,2021-06-04.04:58:37
wiki_talk_en,2987536,24981163,ac4trim,-1,109.726000,2293679,-1,2293679,310948,0,0,0,0,0,2,2021-06-04.04:58:39
livej,4847571,68993773,fasttrim,-1,598.566000,576074,-1,576074,325913,0,0,0,0,0,4,2021-06-04.04:58:42
wiki_talk_en,2987536,24981163,fasttrim,-1,238.859000,2293679,-1,2293679,201084,0,0,0,0,0,4,2021-06-04.04:58:45
livej,4847571,68993773,trim,-1,1171.487000,592952,9,592952,2574027,592952,1,592952,0,0,4,2021-06-04.04:58:49
wiki_talk_en,2987536,24981163,trim,-1,177.394000,2611598,7,2611598,246458,2611598,1,2611598,0,0,4,2021-06-04.04:58:51
livej,4847571,68993773,ac4trim,-1,52.566000,576074,-1,576074,174512,0,0,0,0,0,4,2021-06-04.04:58:54
wiki_talk_en,2987536,24981163,ac4trim,-1,138.611000,2293679,-1,2293679,407173,0,0,0,0,0,4,2021-06-04.04:58:56
livej,4847571,68993773,fasttrim,-1,219.314000,576074,-1,576074,322685,0,0,0,0,0,8,2021-06-04.04:58:59
wiki_talk_en,2987536,24981163,fasttrim,-1,161.606000,2293679,-1,2293679,202734,0,0,0,0,0,8,2021-06-04.04:59:01
livej,4847571,68993773,trim,-1,419.407000,592952,8,592952,2257402,592952,1,592952,0,0,8,2021-06-04.04:59:05
wiki_talk_en,2987536,24981163,trim,-1,150.564000,2611598,7,2611598,237319,2611598,1,2611598,0,0,8,2021-06-04.04:59:07
livej,4847571,68993773,ac4trim,-1,37.512000,576074,-1,576074,155491,0,0,0,0,0,8,2021-06-04.04:59:10
wiki_talk_en,2987536,24981163,ac4trim,-1,71.721000,2293679,-1,2293679,349037,0,0,0,0,0,8,2021-06-04.04:59:12
livej,4847571,68993773,fasttrim,-1,201.070000,576074,-1,576074,338448,0,0,0,0,0,16,2021-06-04.04:59:15
wiki_talk_en,2987536,24981163,fasttrim,-1,102.797000,2293679,-1,2293679,201123,0,0,0,0,0,16,2021-06-04.04:59:17
livej,4847571,68993773,trim,-1,498.809000,592952,8,592952,2229105,592952,1,592952,0,0,16,2021-06-04.04:59:20
wiki_talk_en,2987536,24981163,trim,-1,66.856000,2611598,7,2611598,224073,2611598,1,2611598,0,0,16,2021-06-04.04:59:22
livej,4847571,68993773,ac4trim,-1,29.221000,576074,-1,576074,143125,0,0,0,0,0,16,2021-06-04.04:59:25
wiki_talk_en,2987536,24981163,ac4trim,-1,40.028000,2293679,-1,2293679,330594,0,0,0,0,0,16,2021-06-04.04:59:27
livej,4847571,68993773,fasttrim,-1,215.557000,576074,-1,576074,355338,0,0,0,0,0,32,2021-06-04.04:59:30
wiki_talk_en,2987536,24981163,fasttrim,-1,69.109000,2293679,-1,2293679,199781,0,0,0,0,0,32,2021-06-04.04:59:32
livej,4847571,68993773,trim,-1,205.657000,592952,8,592952,2452124,592952,1,592952,0,0,32,2021-06-04.04:59:35
