model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,date
livej,4847571,68993773,trim,-1,142.783000,592952,8,592952,2614658,592952,1,592952,0,0,256,2021-06-04.05:27:14
wiki_talk_en,2987536,24981163,trim,-1,17.542000,2611598,7,2611598,246418,2611598,1,2611598,0,0,256,2021-06-04.05:27:16
livej,4847571,68993773,ac4trim,-1,22.254000,576074,-1,576074,166270,0,0,0,0,0,256,2021-06-04.05:27:19
wiki_talk_en,2987536,24981163,ac4trim,-1,58.012000,2293679,-1,2293679,331193,0,0,0,0,0,256,2021-06-04.05:27:21
livej,4847571,68993773,fasttrim,-1,207.831000,576074,-1,576074,335027,0,0,0,0,0,512,2021-06-04.05:27:24
wiki_talk_en,2987536,24981163,fasttrim,-1,26.399000,2293679,-1,2293679,199471,0,0,0,0,0,512,2021-06-04.05:27:26
livej,4847571,68993773,trim,-1,212.666000,592952,8,592952,2585540,592952,1,592952,0,0,512,2021-06-04.05:27:29
wiki_talk_en,2987536,24981163,trim,-1,19.741000,2611598,7,2611598,281247,2611598,1,2611598,0,0,512,2021-06-04.05:27:31
livej,4847571,68993773,ac4trim,-1,21.319000,576074,-1,576074,174587,0,0,0,0,0,512,2021-06-04.05:27:34
wiki_talk_en,2987536,24981163,ac4trim,-1,27.704000,2293679,-1,2293679,344458,0,0,0,0,0,512,2021-06-04.05:27:36
livej,4847571,68993773,fasttrim,-1,192.018000,576074,-1,576074,329606,0,0,0,0,0,1024,2021-06-04.05:27:38
wiki_talk_en,2987536,24981163,fasttrim,-1,17.057000,2293679,-1,2293679,229420,0,0,0,0,0,1024,2021-06-04.05:27:41
livej,4847571,68993773,trim,-1,128.631000,592952,8,592952,2586868,592952,1,592952,0,0,1024,2021-06-04.05:27:43
wiki_talk_en,2987536,24981163,trim,-1,15.478000,2611598,7,2611598,263618,2611598,1,2611598,0,0,1024,2021-06-04.05:27:46
livej,4847571,68993773,ac4trim,-1,20.352000,576074,-1,576074,176736,0,0,0,0,0,1024,2021-06-04.05:27:48
wiki_talk_en,2987536,24981163,ac4trim,-1,25.967000,2293679,-1,2293679,343688,0,0,0,0,0,1024,2021-06-04.05:27:51
livej,4847571,68993773,fasttrim,-1,143.140000,576074,-1,576074,374199,0,0,0,0,0,2048,2021-06-04.05:27:53
wiki_talk_en,2987536,24981163,fasttrim,-1,16.642000,2293679,-1,2293679,230221,0,0,0,0,0,2048,2021-06-04.05:27:55
livej,4847571,68993773,trim,-1,155.797000,592952,8,592952,2454736,592952,1,592952,0,0,2048,2021-06-04.05:27:58
wiki_talk_en,2987536,24981163,trim,-1,13.375000,2611598,7,2611598,246734,2611598,1,2611598,0,0,2048,2021-06-04.05:28:00
livej,4847571,68993773,ac4trim,-1,28.499000,576074,-1,576074,165647,0,0,0,0,0,2048,2021-06-04.05:28:03
wiki_talk_en,2987536,24981163,ac4trim,-1,49.427000,2293679,-1,2293679,327696,0,0,0,0,0,2048,2021-06-04.05:28:05
livej,4847571,68993773,fasttrim,-1,145.922000,576074,-1,576074,388815,0,0,0,0,0,4096,2021-06-04.05:28:08
wiki_talk_en,2987536,24981163,fasttrim,-1,26.783000,2293679,-1,2293679,230349,0,0,0,0,0,4096,2021-06-04.05:28:10
livej,4847571,68993773,trim,-1,140.617000,592952,8,592952,2487287,592952,1,592952,0,0,4096,2021-06-04.05:28:13
wiki_talk_en,2987536,24981163,trim,-1,27.307000,2611598,6,2611598,274634,2611598,1,2611598,0,0,4096,2021-06-04.05:28:15
livej,4847571,68993773,ac4trim,-1,20.139000,576074,-1,576074,171718,0,0,0,0,0,4096,2021-06-04.05:28:18
wiki_talk_en,2987536,24981163,ac4trim,-1,45.233000,2293679,-1,2293679,324058,0,0,0,0,0,4096,2021-06-04.05:28:20
livej,4847571,68993773,fasttrim,-1,169.814000,576074,-1,576074,371660,0,0,0,0,0,8192,2021-06-04.05:28:23
wiki_talk_en,2987536,24981163,fasttrim,-1,24.335000,2293679,-1,2293679,230439,0,0,0,0,0,8192,2021-06-04.05:28:25
livej,4847571,68993773,trim,-1,125.298000,592952,8,592952,2700721,592952,1,592952,0,0,8192,2021-06-04.05:28:28
wiki_talk_en,2987536,24981163,trim,-1,32.946000,2611598,6,2611598,270987,2611598,1,2611598,0,0,8192,2021-06-04.05:28:30
livej,4847571,68993773,ac4trim,-1,20.516000,576074,-1,576074,174052,0,0,0,0,0,8192,2021-06-04.05:28:33
wiki_talk_en,2987536,24981163,ac4trim,-1,25.201000,2293679,-1,2293679,347456,0,0,0,0,0,8192,2021-06-04.05:28:35
livej,4847571,68993773,fasttrim,-1,140.315000,576074,-1,576074,389248,0,0,0,0,0,16384,2021-06-04.05:28:38
wiki_talk_en,2987536,24981163,fasttrim,-1,20.521000,2293679,-1,2293679,246998,0,0,0,0,0,16384,2021-06-04.05:28:40
livej,4847571,68993773,trim,-1,155.761000,592952,8,592952,2598211,592952,1,592952,0,0,16384,2021-06-04.05:28:43
wiki_talk_en,2987536,24981163,trim,-1,36.495000,2611598,7,2611598,301632,2611598,1,2611598,0,0,16384,2021-06-04.05:28:45
livej,4847571,68993773,ac4trim,-1,19.976000,576074,-1,576074,174181,0,0,0,0,0,16384,2021-06-04.05:28:47
wiki_talk_en,2987536,24981163,ac4trim,-1,24.355000,2293679,-1,2293679,354724,0,0,0,0,0,16384,2021-06-04.05:28:50
livej,4847571,68993773,fasttrim,-1,142.723000,576074,-1,576074,406677,0,0,0,0,0,32768,2021-06-04.05:28:52
wiki_talk_en,2987536,24981163,fasttrim,-1,15.599000,2293679,-1,2293679,296251,0,0,0,0,0,32768,2021-06-04.05:28:55
livej,4847571,68993773,trim,-1,122.131000,592952,8,592952,2712594,592952,1,592952,0,0,32768,2021-06-04.05:28:57
wiki_talk_en,2987536,24981163,trim,-1,37.210000,2611598,7,2611598,318722,2611598,1,2611598,0,0,32768,2021-06-04.05:28:59
livej,4847571,68993773,ac4trim,-1,19.762000,576074,-1,576074,189694,0,0,0,0,0,32768,2021-06-04.05:29:02
wiki_talk_en,2987536,24981163,ac4trim,-1,25.747000,2293679,-1,2293679,343931,0,0,0,0,0,32768,2021-06-04.05:29:04
livej,4847571,68993773,fasttrim,-1,185.276000,576074,-1,576074,403710,0,0,0,0,0,65536,2021-06-04.05:29:07
wiki_talk_en,2987536,24981163,fasttrim,-1,15.449000,2293679,-1,2293679,328951,0,0,0,0,0,65536,2021-06-04.05:29:09
livej,4847571,68993773,trim,-1,151.652000,592952,8,592952,2903811,592952,1,592952,0,0,65536,2021-06-04.05:29:12
wiki_talk_en,2987536,24981163,trim,-1,37.639000,2611598,7,2611598,497257,2611598,1,2611598,0,0,65536,2021-06-04.05:29:14
livej,4847571,68993773,ac4trim,-1,20.543000,576074,-1,576074,202352,0,0,0,0,0,65536,2021-06-04.05:29:17
wiki_talk_en,2987536,24981163,ac4trim,-1,26.883000,2293679,-1,2293679,343910,0,0,0,0,0,65536,2021-06-04.05:29:19
livej,4847571,68993773,fasttrim,-1,178.007000,576074,-1,576074,413497,0,0,0,0,0,131072,2021-06-04.05:29:22
wiki_talk_en,2987536,24981163,fasttrim,-1,17.304000,2293679,-1,2293679,394586,0,0,0,0,0,131072,2021-06-04.05:29:24
livej,4847571,68993773,trim,-1,153.183000,592952,8,592952,3191713,592952,1,592952,0,0,131072,2021-06-04.05:29:27
wiki_talk_en,2987536,24981163,trim,-1,29.565000,2611598,7,2611598,760464,2611598,1,2611598,0,0,131072,2021-06-04.05:29:29
livej,4847571,68993773,ac4trim,-1,20.245000,576074,-1,576074,267605,0,0,0,0,0,131072,2021-06-04.05:29:32
wiki_talk_en,2987536,24981163,ac4trim,-1,22.176000,2293679,-1,2293679,444191,0,0,0,0,0,131072,2021-06-04.05:29:34
livej,4847571,68993773,fasttrim,-1,162.829000,576074,-1,576074,541223,0,0,0,0,0,262144,2021-06-04.05:29:36
wiki_talk_en,2987536,24981163,fasttrim,-1,39.079000,2293679,-1,2293679,264086,0,0,0,0,0,262144,2021-06-04.05:29:39
livej,4847571,68993773,trim,-1,136.578000,592952,7,592952,3152746,592952,1,592952,0,0,262144,2021-06-04.05:29:41
wiki_talk_en,2987536,24981163,trim,-1,41.975000,2611598,6,2611598,1017899,2611598,1,2611598,0,0,262144,2021-06-04.05:29:44
livej,4847571,68993773,ac4trim,-1,24.666000,576074,-1,576074,395766,0,0,0,0,0,262144,2021-06-04.05:29:46
wiki_talk_en,2987536,24981163,ac4trim,-1,27.883000,2293679,-1,2293679,475228,0,0,0,0,0,262144,2021-06-04.05:29:48
livej,4847571,68993773,fasttrim,-1,200.591000,576074,-1,576074,561571,0,0,0,0,0,524288,2021-06-04.05:29:51
wiki_talk_en,2987536,24981163,fasttrim,-1,17.998000,2293679,-1,2293679,527999,0,0,0,0,0,524288,2021-06-04.05:29:53
livej,4847571,68993773,trim,-1,170.988000,592952,10,592952,5203180,592952,1,592952,0,0,524288,2021-06-04.05:29:56
wiki_talk_en,2987536,24981163,trim,-1,23.701000,2611598,6,2611598,1433632,2611598,1,2611598,0,0,524288,2021-06-04.05:29:58
livej,4847571,68993773,ac4trim,-1,24.313000,576074,-1,576074,581043,0,0,0,0,0,524288,2021-06-04.05:30:01
wiki_talk_en,2987536,24981163,ac4trim,-1,21.589000,2293679,-1,2293679,936188,0,0,0,0,0,524288,2021-06-04.05:30:03
livej,4847571,68993773,fasttrim,-1,237.523000,576074,-1,576074,1100933,0,0,0,0,0,1048576,2021-06-04.05:30:06
wiki_talk_en,2987536,24981163,fasttrim,-1,55.188000,2293679,-1,2293679,1055365,0,0,0,0,0,1048576,2021-06-04.05:30:08
livej,4847571,68993773,trim,-1,203.597000,592952,9,592952,9289954,592952,1,592952,0,0,1048576,2021-06-04.05:30:11
wiki_talk_en,2987536,24981163,trim,-1,39.026000,2611598,6,2611598,1900189,2611598,1,2611598,0,0,1048576,2021-06-04.05:30:13
livej,4847571,68993773,ac4trim,-1,29.130000,576074,-1,576074,873369,0,0,0,0,0,1048576,2021-06-04.05:30:16
wiki_talk_en,2987536,24981163,ac4trim,-1,33.563000,2293679,-1,2293679,1736662,0,0,0,0,0,1048576,2021-06-04.05:30:18
livej,4847571,68993773,fasttrim,-1,517.040000,576074,-1,576074,324579,0,0,0,0,0,1,2021-06-04.05:30:22
wiki_talk_en,2987536,24981163,fasttrim,-1,514.821000,2293679,-1,2293679,197645,0,0,0,0,0,1,2021-06-04.05:30:24
livej,4847571,68993773,trim,-1,1746.973000,592952,9,592952,2881541,592952,1,592952,0,0,1,2021-06-04.05:30:29
wiki_talk_en,2987536,24981163,trim,-1,679.499000,2611598,7,2611598,262424,2611598,1,2611598,0,0,1,2021-06-04.05:30:32
livej,4847571,68993773,ac4trim,-1,156.585000,576074,-1,576074,170238,0,0,0,0,0,1,2021-06-04.05:30:34
wiki_talk_en,2987536,24981163,ac4trim,-1,233.538000,2293679,-1,2293679,362597,0,0,0,0,0,1,2021-06-04.05:30:37
livej,4847571,68993773,fasttrim,-1,757.188000,576074,-1,576074,329029,0,0,0,0,0,2,2021-06-04.05:30:40
wiki_talk_en,2987536,24981163,fasttrim,-1,374.653000,2293679,-1,2293679,195216,0,0,0,0,0,2,2021-06-04.05:30:43
livej,4847571,68993773,trim,-1,1064.085000,592952,9,592952,2663488,592952,1,592952,0,0,2,2021-06-04.05:30:47
wiki_talk_en,2987536,24981163,trim,-1,404.798000,2611598,7,2611598,252081,2611598,1,2611598,0,0,2,2021-06-04.05:30:49
livej,4847571,68993773,ac4trim,-1,88.483000,576074,-1,576074,170654,0,0,0,0,0,2,2021-06-04.05:30:52
wiki_talk_en,2987536,24981163,ac4trim,-1,175.342000,2293679,-1,2293679,388035,0,0,0,0,0,2,2021-06-04.05:30:54
livej,4847571,68993773,fasttrim,-1,601.133000,576074,-1,576074,321577,0,0,0,0,0,4,2021-06-04.05:30:57
wiki_talk_en,2987536,24981163,fasttrim,-1,238.011000,2293679,-1,2293679,199099,0,0,0,0,0,4,2021-06-04.05:31:00
livej,4847571,68993773,trim,-1,1391.792000,592952,9,592952,2586359,592952,1,592952,0,0,4,2021-06-04.05:31:04
wiki_talk_en,2987536,24981163,trim,-1,236.978000,2611598,7,2611598,242623,2611598,1,2611598,0,0,4,2021-06-04.05:31:06
livej,4847571,68993773,ac4trim,-1,53.556000,576074,-1,576074,165118,0,0,0,0,0,4,2021-06-04.05:31:09
wiki_talk_en,2987536,24981163,ac4trim,-1,139.304000,2293679,-1,2293679,408294,0,0,0,0,0,4,2021-06-04.05:31:11
livej,4847571,68993773,fasttrim,-1,492.732000,576074,-1,576074,321943,0,0,0,0,0,8,2021-06-04.05:31:14
wiki_talk_en,2987536,24981163,fasttrim,-1,167.115000,2293679,-1,2293679,204673,0,0,0,0,0,8,2021-06-04.05:31:17
livej,4847571,68993773,trim,-1,654.128000,592952,8,592952,2280439,592952,1,592952,0,0,8,2021-06-04.05:31:20
wiki_talk_en,2987536,24981163,trim,-1,151.221000,2611598,7,2611598,239127,2611598,1,2611598,0,0,8,2021-06-04.05:31:22
livej,4847571,68993773,ac4trim,-1,38.487000,576074,-1,576074,150343,0,0,0,0,0,8,2021-06-04.05:31:25
wiki_talk_en,2987536,24981163,ac4trim,-1,56.887000,2293679,-1,2293679,335665,0,0,0,0,0,8,2021-06-04.05:31:27
livej,4847571,68993773,fasttrim,-1,227.682000,576074,-1,576074,333586,0,0,0,0,0,16,2021-06-04.05:31:30
wiki_talk_en,2987536,24981163,fasttrim,-1,102.401000,2293679,-1,2293679,202255,0,0,0,0,0,16,2021-06-04.05:31:32
livej,4847571,68993773,trim,-1,429.787000,592952,8,592952,2236304,592952,1,592952,0,0,16,2021-06-04.05:31:35
wiki_talk_en,2987536,24981163,trim,-1,67.746000,2611598,7,2611598,229894,2611598,1,2611598,0,0,16,2021-06-04.05:31:38
livej,4847571,68993773,ac4trim,-1,30.032000,576074,-1,576074,148192,0,0,0,0,0,16,2021-06-04.05:31:40
wiki_talk_en,2987536,24981163,ac4trim,-1,96.062000,2293679,-1,2293679,343238,0,0,0,0,0,16,2021-06-04.05:31:43
livej,4847571,68993773,fasttrim,-1,332.874000,576074,-1,576074,329941,0,0,0,0,0,32,2021-06-04.05:31:45
wiki_talk_en,2987536,24981163,fasttrim,-1,81.908000,2293679,-1,2293679,220352,0,0,0,0,0,32,2021-06-04.05:31:48
livej,4847571,68993773,trim,-1,362.416000,592952,8,592952,2349999,592952,1,592952,0,0,32,2021-06-04.05:31:51
wiki_talk_en,2987536,24981163,trim,-1,69.346000,2611598,7,2611598,233257,2611598,1,2611598,0,0,32,2021-06-04.05:31:53
livej,4847571,68993773,ac4trim,-1,25.162000,576074,-1,576074,152567,0,0,0,0,0,32,2021-06-04.05:31:56
wiki_talk_en,2987536,24981163,ac4trim,-1,37.533000,2293679,-1,2293679,338223,0,0,0,0,0,32,2021-06-04.05:31:58
livej,4847571,68993773,fasttrim,-1,160.890000,576074,-1,576074,369949,0,0,0,0,0,64,2021-06-04.05:32:01
wiki_talk_en,2987536,24981163,fasttrim,-1,35.754000,2293679,-1,2293679,203051,0,0,0,0,0,64,2021-06-04.05:32:03
livej,4847571,68993773,trim,-1,240.959000,592952,8,592952,2440432,592952,1,592952,0,0,64,2021-06-04.05:32:06
wiki_talk_en,2987536,24981163,trim,-1,51.053000,2611598,7,2611598,233203,2611598,1,2611598,0,0,64,2021-06-04.05:32:08
livej,4847571,68993773,ac4trim,-1,23.851000,576074,-1,576074,151940,0,0,0,0,0,64,2021-06-04.05:32:11
wiki_talk_en,2987536,24981163,ac4trim,-1,40.909000,2293679,-1,2293679,337173,0,0,0,0,0,64,2021-06-04.05:32:13
livej,4847571,68993773,fasttrim,-1,257.181000,576074,-1,576074,342764,0,0,0,0,0,128,2021-06-04.05:32:16
wiki_talk_en,2987536,24981163,fasttrim,-1,24.915000,2293679,-1,2293679,204555,0,0,0,0,0,128,2021-06-04.05:32:18
livej,4847571,68993773,trim,-1,265.745000,592952,8,592952,2463240,592952,1,592952,0,0,128,2021-06-04.05:32:21
wiki_talk_en,2987536,24981163,trim,-1,41.624000,2611598,7,2611598,238137,2611598,1,2611598,0,0,128,2021-06-04.05:32:24
livej,4847571,68993773,ac4trim,-1,23.448000,576074,-1,576074,166209,0,0,0,0,0,128,2021-06-04.05:32:26
wiki_talk_en,2987536,24981163,ac4trim,-1,67.267000,2293679,-1,2293679,345791,0,0,0,0,0,128,2021-06-04.05:32:29
livej,4847571,68993773,fasttrim,-1,234.864000,576074,-1,576074,331796,0,0,0,0,0,256,2021-06-04.05:32:32
wiki_talk_en,2987536,24981163,fasttrim,-1,20.317000,2293679,-1,2293679,212871,0,0,0,0,0,256,2021-06-04.05:32:34
livej,4847571,68993773,trim,-1,223.256000,592952,8,592952,2523522,592952,1,592952,0,0,256,2021-06-04.05:32:37
wiki_talk_en,2987536,24981163,trim,-1,33.289000,2611598,7,2611598,242497,2611598,1,2611598,0,0,256,2021-06-04.05:32:39
livej,4847571,68993773,ac4trim,-1,22.214000,576074,-1,576074,170289,0,0,0,0,0,256,2021-06-04.05:32:41
wiki_talk_en,2987536,24981163,ac4trim,-1,27.381000,2293679,-1,2293679,344525,0,0,0,0,0,256,2021-06-04.05:32:44
livej,4847571,68993773,fasttrim,-1,212.386000,576074,-1,576074,348575,0,0,0,0,0,512,2021-06-04.05:32:47
wiki_talk_en,2987536,24981163,fasttrim,-1,26.730000,2293679,-1,2293679,200019,0,0,0,0,0,512,2021-06-04.05:32:49
livej,4847571,68993773,trim,-1,128.559000,592952,8,592952,2557598,592952,1,592952,0,0,512,2021-06-04.05:32:51
wiki_talk_en,2987536,24981163,trim,-1,27.640000,2611598,6,2611598,218875,2611598,1,2611598,0,0,512,2021-06-04.05:32:54
livej,4847571,68993773,ac4trim,-1,20.945000,576074,-1,576074,156371,0,0,0,0,0,512,2021-06-04.05:32:56
wiki_talk_en,2987536,24981163,ac4trim,-1,27.773000,2293679,-1,2293679,341775,0,0,0,0,0,512,2021-06-04.05:32:58
livej,4847571,68993773,fasttrim,-1,143.739000,576074,-1,576074,384168,0,0,0,0,0,1024,2021-06-04.05:33:01
wiki_talk_en,2987536,24981163,fasttrim,-1,17.335000,2293679,-1,2293679,229419,0,0,0,0,0,1024,2021-06-04.05:33:03
livej,4847571,68993773,trim,-1,173.809000,592952,8,592952,2436824,592952,1,592952,0,0,1024,2021-06-04.05:33:06
wiki_talk_en,2987536,24981163,trim,-1,27.188000,2611598,7,2611598,259109,2611598,1,2611598,0,0,1024,2021-06-04.05:33:08
livej,4847571,68993773,ac4trim,-1,20.498000,576074,-1,576074,168650,0,0,0,0,0,1024,2021-06-04.05:33:11
wiki_talk_en,2987536,24981163,ac4trim,-1,26.800000,2293679,-1,2293679,340908,0,0,0,0,0,1024,2021-06-04.05:33:13
livej,4847571,68993773,fasttrim,-1,150.804000,576074,-1,576074,405559,0,0,0,0,0,2048,2021-06-04.05:33:16
wiki_talk_en,2987536,24981163,fasttrim,-1,19.393000,2293679,-1,2293679,261279,0,0,0,0,0,2048,2021-06-04.05:33:18
livej,4847571,68993773,trim,-1,162.313000,592952,8,592952,2500789,592952,1,592952,0,0,2048,2021-06-04.05:33:21
wiki_talk_en,2987536,24981163,trim,-1,24.899000,2611598,6,2611598,242157,2611598,1,2611598,0,0,2048,2021-06-04.05:33:23
livej,4847571,68993773,ac4trim,-1,21.038000,576074,-1,576074,154491,0,0,0,0,0,2048,2021-06-04.05:33:26
wiki_talk_en,2987536,24981163,ac4trim,-1,48.096000,2293679,-1,2293679,321859,0,0,0,0,0,2048,2021-06-04.05:33:28
livej,4847571,68993773,fasttrim,-1,163.792000,576074,-1,576074,359144,0,0,0,0,0,4096,2021-06-04.05:33:31
wiki_talk_en,2987536,24981163,fasttrim,-1,21.847000,2293679,-1,2293679,226439,0,0,0,0,0,4096,2021-06-04.05:33:33
livej,4847571,68993773,trim,-1,135.974000,592952,8,592952,2617443,592952,1,592952,0,0,4096,2021-06-04.05:33:36
wiki_talk_en,2987536,24981163,trim,-1,23.771000,2611598,6,2611598,272032,2611598,1,2611598,0,0,4096,2021-06-04.05:33:38
livej,4847571,68993773,ac4trim,-1,20.158000,576074,-1,576074,162223,0,0,0,0,0,4096,2021-06-04.05:33:41
wiki_talk_en,2987536,24981163,ac4trim,-1,25.329000,2293679,-1,2293679,351644,0,0,0,0,0,4096,2021-06-04.05:33:43
livej,4847571,68993773,fasttrim,-1,166.745000,576074,-1,576074,347062,0,0,0,0,0,8192,2021-06-04.05:33:45
wiki_talk_en,2987536,24981163,fasttrim,-1,24.074000,2293679,-1,2293679,219570,0,0,0,0,0,8192,2021-06-04.05:33:48
livej,4847571,68993773,trim,-1,167.213000,592952,8,592952,2640737,592952,1,592952,0,0,8192,2021-06-04.05:33:50
wiki_talk_en,2987536,24981163,trim,-1,23.053000,2611598,6,2611598,268575,2611598,1,2611598,0,0,8192,2021-06-04.05:33:53
livej,4847571,68993773,ac4trim,-1,20.113000,576074,-1,576074,155882,0,0,0,0,0,8192,2021-06-04.05:33:55
wiki_talk_en,2987536,24981163,ac4trim,-1,25.456000,2293679,-1,2293679,352908,0,0,0,0,0,8192,2021-06-04.05:33:58
livej,4847571,68993773,fasttrim,-1,174.047000,576074,-1,576074,371866,0,0,0,0,0,16384,2021-06-04.05:34:00
wiki_talk_en,2987536,24981163,fasttrim,-1,14.518000,2293679,-1,2293679,246925,0,0,0,0,0,16384,2021-06-04.05:34:03
livej,4847571,68993773,trim,-1,113.271000,592952,8,592952,2621866,592952,1,592952,0,0,16384,2021-06-04.05:34:06
wiki_talk_en,2987536,24981163,trim,-1,14.527000,2611598,7,2611598,293111,2611598,1,2611598,0,0,16384,2021-06-04.05:34:08
livej,4847571,68993773,ac4trim,-1,19.757000,576074,-1,576074,168228,0,0,0,0,0,16384,2021-06-04.05:34:10
wiki_talk_en,2987536,24981163,ac4trim,-1,23.855000,2293679,-1,2293679,336851,0,0,0,0,0,16384,2021-06-04.05:34:13
livej,4847571,68993773,fasttrim,-1,158.336000,576074,-1,576074,404531,0,0,0,0,0,32768,2021-06-04.05:34:15
wiki_talk_en,2987536,24981163,fasttrim,-1,21.634000,2293679,-1,2293679,263357,0,0,0,0,0,32768,2021-06-04.05:34:18
livej,4847571,68993773,trim,-1,126.524000,592952,8,592952,2858210,592952,1,592952,0,0,32768,2021-06-04.05:34:20
wiki_talk_en,2987536,24981163,trim,-1,13.460000,2611598,7,2611598,304318,2611598,1,2611598,0,0,32768,2021-06-04.05:34:22
livej,4847571,68993773,ac4trim,-1,19.722000,576074,-1,576074,188334,0,0,0,0,0,32768,2021-06-04.05:34:25
wiki_talk_en,2987536,24981163,ac4trim,-1,23.634000,2293679,-1,2293679,336517,0,0,0,0,0,32768,2021-06-04.05:34:27
livej,4847571,68993773,fasttrim,-1,182.723000,576074,-1,576074,408786,0,0,0,0,0,65536,2021-06-04.05:34:30
wiki_talk_en,2987536,24981163,fasttrim,-1,36.363000,2293679,-1,2293679,328944,0,0,0,0,0,65536,2021-06-04.05:34:32
livej,4847571,68993773,trim,-1,161.050000,592952,8,592952,3026641,592952,1,592952,0,0,65536,2021-06-04.05:34:35
wiki_talk_en,2987536,24981163,trim,-1,13.551000,2611598,7,2611598,461924,2611598,1,2611598,0,0,65536,2021-06-04.05:34:37
livej,4847571,68993773,ac4trim,-1,22.704000,576074,-1,576074,183802,0,0,0,0,0,65536,2021-06-04.05:34:40
wiki_talk_en,2987536,24981163,ac4trim,-1,28.009000,2293679,-1,2293679,349665,0,0,0,0,0,65536,2021-06-04.05:34:42
livej,4847571,68993773,fasttrim,-1,142.740000,576074,-1,576074,412478,0,0,0,0,0,131072,2021-06-04.05:34:45
wiki_talk_en,2987536,24981163,fasttrim,-1,16.972000,2293679,-1,2293679,394526,0,0,0,0,0,131072,2021-06-04.05:34:47
livej,4847571,68993773,trim,-1,154.693000,592952,8,592952,3300368,592952,1,592952,0,0,131072,2021-06-04.05:34:50
wiki_talk_en,2987536,24981163,trim,-1,18.496000,2611598,7,2611598,760452,2611598,1,2611598,0,0,131072,2021-06-04.05:34:52
livej,4847571,68993773,ac4trim,-1,20.482000,576074,-1,576074,267602,0,0,0,0,0,131072,2021-06-04.05:34:55
wiki_talk_en,2987536,24981163,ac4trim,-1,28.674000,2293679,-1,2293679,457997,0,0,0,0,0,131072,2021-06-04.05:34:57
livej,4847571,68993773,fasttrim,-1,148.753000,576074,-1,576074,545036,0,0,0,0,0,262144,2021-06-04.05:35:00
wiki_talk_en,2987536,24981163,fasttrim,-1,16.616000,2293679,-1,2293679,264052,0,0,0,0,0,262144,2021-06-04.05:35:02
livej,4847571,68993773,trim,-1,1461.881000,592952,7,592952,3181536,592952,1,592952,0,0,262144,2021-06-04.05:35:06
wiki_talk_en,2987536,24981163,trim,-1,20.343000,2611598,7,2611598,1179599,2611598,1,2611598,0,0,262144,2021-06-04.05:35:09
livej,4847571,68993773,ac4trim,-1,21.811000,576074,-1,576074,395750,0,0,0,0,0,262144,2021-06-04.05:35:11
wiki_talk_en,2987536,24981163,ac4trim,-1,20.914000,2293679,-1,2293679,475232,0,0,0,0,0,262144,2021-06-04.05:35:13
livej,4847571,68993773,fasttrim,-1,202.985000,576074,-1,576074,576317,0,0,0,0,0,524288,2021-06-04.05:35:16
wiki_talk_en,2987536,24981163,fasttrim,-1,23.888000,2293679,-1,2293679,528007,0,0,0,0,0,524288,2021-06-04.05:35:19
livej,4847571,68993773,trim,-1,126.231000,592952,8,592952,4162475,592952,1,592952,0,0,524288,2021-06-04.05:35:21
wiki_talk_en,2987536,24981163,trim,-1,28.813000,2611598,6,2611598,1433514,2611598,1,2611598,0,0,524288,2021-06-04.05:35:24
livej,4847571,68993773,ac4trim,-1,22.557000,576074,-1,576074,581028,0,0,0,0,0,524288,2021-06-04.05:35:26
wiki_talk_en,2987536,24981163,ac4trim,-1,28.091000,2293679,-1,2293679,936137,0,0,0,0,0,524288,2021-06-04.05:35:29
livej,4847571,68993773,fasttrim,-1,170.757000,576074,-1,576074,1097803,0,0,0,0,0,1048576,2021-06-04.05:35:32
wiki_talk_en,2987536,24981163,fasttrim,-1,54.805000,2293679,-1,2293679,1055365,0,0,0,0,0,1048576,2021-06-04.05:35:34
livej,4847571,68993773,trim,-1,171.320000,592952,8,592952,8257827,592952,1,592952,0,0,1048576,2021-06-04.05:35:37
wiki_talk_en,2987536,24981163,trim,-1,61.700000,2611598,7,2611598,2177330,2611598,1,2611598,0,0,1048576,2021-06-04.05:35:39
livej,4847571,68993773,ac4trim,-1,32.319000,576074,-1,576074,873355,0,0,0,0,0,1048576,2021-06-04.05:35:42
wiki_talk_en,2987536,24981163,ac4trim,-1,34.390000,2293679,-1,2293679,1736657,0,0,0,0,0,1048576,2021-06-04.05:35:44
livej,4847571,68993773,fasttrim,-1,919.072000,576074,-1,576074,327510,0,0,0,0,0,1,2021-06-04.05:35:47
wiki_talk_en,2987536,24981163,fasttrim,-1,474.363000,2293679,-1,2293679,200738,0,0,0,0,0,1,2021-06-04.05:35:50
livej,4847571,68993773,trim,-1,1787.213000,592952,9,592952,2889004,592952,1,592952,0,0,1,2021-06-04.05:35:55
wiki_talk_en,2987536,24981163,trim,-1,667.721000,2611598,7,2611598,259672,2611598,1,2611598,0,0,1,2021-06-04.05:35:58
livej,4847571,68993773,ac4trim,-1,156.350000,576074,-1,576074,162865,0,0,0,0,0,1,2021-06-04.05:36:00
wiki_talk_en,2987536,24981163,ac4trim,-1,192.887000,2293679,-1,2293679,332572,0,0,0,0,0,1,2021-06-04.05:36:03
livej,4847571,68993773,fasttrim,-1,369.535000,576074,-1,576074,318638,0,0,0,0,0,2,2021-06-04.05:36:06
