,Tarjan,AC4Trim,,,,AC6Trim,,,
Name,Time(ms),Time(ms),#Repeat,#Delete v,Speedup VS Tarjan,Time,#Delete V,Speedup VS Tarjan,Speedup VS AC4Trim
cambridge.6,,,,,,,,,
bakery.6,,,,,,,,,
leader-filters.7,,,,,,,,,
dbpedia,,,,,,,,,
baidu,,,,,,,,,
livej,,,,,,,,,
pokec,,,,,,,,,
wiki-talk-en,,,,,,,,,
